[evo_logo_L5_s5] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:16:19] evo_logo_L5_s5     10s  best 3631/4096  current 3631  restarts 0  iters 342848  (33011/s)  best gates cx 27 tof 14
[2026-09-25 00:16:33] evo_logo_L5_s5     25s  best 3705/4096  current 3705  restarts 0  iters 847576  (34147/s)  best gates cx 28 tof 20
[2026-09-25 00:16:48] evo_logo_L5_s5     40s  best 3705/4096  current 3705  restarts 0  iters 1406118  (35484/s)  best gates cx 28 tof 20
[2026-09-25 00:16:58] evo_logo_L5_s5     50s  best 3713/4096  current 3713  restarts 0  iters 1780683  (35658/s)  best gates cx 32 tof 19
[2026-09-25 00:17:13] evo_logo_L5_s5     65s  best 3743/4096  current 3743  restarts 0  iters 2344168  (36239/s)  best gates cx 29 tof 19
[2026-09-25 00:17:23] evo_logo_L5_s5     75s  best 3743/4096  current 3743  restarts 0  iters 2722478  (36415/s)  best gates cx 29 tof 19
[2026-09-25 00:17:33] evo_logo_L5_s5     85s  best 3743/4096  current 3743  restarts 0  iters 3107221  (36611/s)  best gates cx 29 tof 19
[2026-09-25 00:17:48] evo_logo_L5_s5    100s  best 3743/4096  current 3743  restarts 0  iters 3675852  (36860/s)  best gates cx 29 tof 19
[2026-09-25 00:18:03] evo_logo_L5_s5    115s  best 3743/4096  current 3743  restarts 0  iters 4257518  (37126/s)  best gates cx 29 tof 19
[2026-09-25 00:18:13] evo_logo_L5_s5    125s  best 3743/4096  current 3743  restarts 0  iters 4638295  (37186/s)  best gates cx 29 tof 19
[2026-09-25 00:18:28] evo_logo_L5_s5    140s  best 3743/4096  current 3743  restarts 0  iters 5217626  (37302/s)  best gates cx 29 tof 19
[2026-09-25 00:18:38] evo_logo_L5_s5    150s  best 3743/4096  current 3743  restarts 0  iters 5594278  (37326/s)  best gates cx 29 tof 19
[2026-09-25 00:18:49] evo_logo_L5_s5    160s  best 3743/4096  current 3657  restarts 1  iters 5944905  (37083/s)  best gates cx 29 tof 19
[2026-09-25 00:18:59] evo_logo_L5_s5    170s  best 3743/4096  current 3661  restarts 1  iters 6290460  (36914/s)  best gates cx 29 tof 19
[2026-09-25 00:19:13] evo_logo_L5_s5    185s  best 3743/4096  current 3685  restarts 1  iters 6808121  (36768/s)  best gates cx 29 tof 19
[2026-09-25 00:19:28] evo_logo_L5_s5    200s  best 3743/4096  current 3707  restarts 1  iters 7339576  (36672/s)  best gates cx 29 tof 19
[2026-09-25 00:19:43] evo_logo_L5_s5    215s  best 3765/4096  current 3765  restarts 1  iters 7877608  (36644/s)  best gates cx 30 tof 17
[2026-09-25 00:19:58] evo_logo_L5_s5    230s  best 3765/4096  current 3765  restarts 1  iters 8441726  (36699/s)  best gates cx 30 tof 17
[2026-09-25 00:20:13] evo_logo_L5_s5    245s  best 3783/4096  current 3783  restarts 1  iters 8998340  (36780/s)  best gates cx 27 tof 21
[2026-09-25 00:20:28] evo_logo_L5_s5    260s  best 3783/4096  current 3783  restarts 1  iters 9592646  (36939/s)  best gates cx 27 tof 21
[2026-09-25 00:20:38] evo_logo_L5_s5    270s  best 3783/4096  current 3783  restarts 1  iters 9995720  (37063/s)  best gates cx 27 tof 21
[2026-09-25 00:20:53] evo_logo_L5_s5    285s  best 3787/4096  current 3787  restarts 1  iters 10597089  (37218/s)  best gates cx 28 tof 19
[2026-09-25 00:21:08] evo_logo_L5_s5    300s  best 3787/4096  current 3787  restarts 1  iters 11185750  (37334/s)  best gates cx 28 tof 19
[2026-09-25 00:21:18] evo_logo_L5_s5    310s  best 3787/4096  current 3787  restarts 1  iters 11579880  (37372/s)  best gates cx 28 tof 19
[2026-09-25 00:21:33] evo_logo_L5_s5    325s  best 3789/4096  current 3789  restarts 1  iters 12177470  (37499/s)  best gates cx 25 tof 20
[2026-09-25 00:21:48] evo_logo_L5_s5    340s  best 3789/4096  current 3789  restarts 1  iters 12781076  (37639/s)  best gates cx 25 tof 20
[2026-09-25 00:21:58] evo_logo_L5_s5    350s  best 3789/4096  current 3789  restarts 1  iters 13188600  (37725/s)  best gates cx 25 tof 20
[2026-09-25 00:22:08] evo_logo_L5_s5    360s  best 3789/4096  current 3789  restarts 1  iters 13591264  (37769/s)  best gates cx 25 tof 20
[2026-09-25 00:22:23] evo_logo_L5_s5    375s  best 3789/4096  current 3789  restarts 1  iters 14200166  (37906/s)  best gates cx 25 tof 20
[2026-09-25 00:22:33] evo_logo_L5_s5    385s  best 3789/4096  current 3789  restarts 1  iters 14605830  (37969/s)  best gates cx 25 tof 20
[2026-09-25 00:22:48] evo_logo_L5_s5    400s  best 3789/4096  current 3789  restarts 1  iters 15214188  (38069/s)  best gates cx 25 tof 20
[2026-09-25 00:22:59] evo_logo_L5_s5    411s  best 3789/4096  current 3651  restarts 2  iters 15615654  (38003/s)  best gates cx 25 tof 20
[2026-09-25 00:23:13] evo_logo_L5_s5    425s  best 3789/4096  current 3753  restarts 2  iters 16157483  (38006/s)  best gates cx 25 tof 20
[2026-09-25 00:23:24] evo_logo_L5_s5    435s  best 3789/4096  current 3753  restarts 2  iters 16539926  (38005/s)  best gates cx 25 tof 20
[2026-09-25 00:23:39] evo_logo_L5_s5    450s  best 3789/4096  current 3753  restarts 2  iters 17105306  (37996/s)  best gates cx 25 tof 20
[2026-09-25 00:23:53] evo_logo_L5_s5    465s  best 3789/4096  current 3755  restarts 2  iters 17676355  (38006/s)  best gates cx 25 tof 20
[2026-09-25 00:24:03] evo_logo_L5_s5    475s  best 3789/4096  current 3755  restarts 2  iters 18061082  (38013/s)  best gates cx 25 tof 20
[2026-09-25 00:24:13] evo_logo_L5_s5    485s  best 3789/4096  current 3757  restarts 2  iters 18438573  (38005/s)  best gates cx 25 tof 20
[2026-09-25 00:24:24] evo_logo_L5_s5    495s  best 3789/4096  current 3757  restarts 2  iters 18814036  (37976/s)  best gates cx 25 tof 20
[2026-09-25 00:24:39] evo_logo_L5_s5    510s  best 3789/4096  current 3757  restarts 2  iters 19366246  (37950/s)  best gates cx 25 tof 20
[2026-09-25 00:24:53] evo_logo_L5_s5    525s  best 3789/4096  current 3757  restarts 2  iters 19931170  (37956/s)  best gates cx 25 tof 20
[2026-09-25 00:25:08] evo_logo_L5_s5    540s  best 3789/4096  current 3757  restarts 2  iters 20509201  (37977/s)  best gates cx 25 tof 20
[2026-09-25 00:25:18] evo_logo_L5_s5    550s  best 3789/4096  current 3757  restarts 2  iters 20900394  (37992/s)  best gates cx 25 tof 20
[2026-09-25 00:25:34] evo_logo_L5_s5    565s  best 3789/4096  current 3783  restarts 2  iters 21475372  (37997/s)  best gates cx 25 tof 20
[2026-09-25 00:25:44] evo_logo_L5_s5    575s  best 3789/4096  current 3783  restarts 2  iters 21850052  (37983/s)  best gates cx 25 tof 20
[2026-09-25 00:25:54] evo_logo_L5_s5    585s  best 3789/4096  current 3783  restarts 2  iters 22227249  (37978/s)  best gates cx 25 tof 20
[2026-09-25 00:26:08] evo_logo_L5_s5    600s  best 3789/4096  current 3783  restarts 2  iters 22790392  (37981/s)  best gates cx 25 tof 20
[2026-09-25 00:26:18] evo_logo_L5_s5    610s  best 3789/4096  current 3783  restarts 2  iters 23178677  (37988/s)  best gates cx 25 tof 20
[2026-09-25 00:26:29] evo_logo_L5_s5    620s  best 3789/4096  current 3783  restarts 2  iters 23564875  (37995/s)  best gates cx 25 tof 20
[2026-09-25 00:26:39] evo_logo_L5_s5    630s  best 3789/4096  current 3783  restarts 2  iters 23939658  (37972/s)  best gates cx 25 tof 20
[2026-09-25 00:26:49] evo_logo_L5_s5    640s  best 3789/4096  current 3783  restarts 2  iters 24308796  (37955/s)  best gates cx 25 tof 20
[2026-09-25 00:27:03] evo_logo_L5_s5    655s  best 3789/4096  current 3783  restarts 2  iters 24871580  (37962/s)  best gates cx 25 tof 20
[2026-09-25 00:27:14] evo_logo_L5_s5    666s  best 3789/4096  current 3697  restarts 3  iters 25246922  (37930/s)  best gates cx 25 tof 20
[2026-09-25 00:27:29] evo_logo_L5_s5    680s  best 3789/4096  current 3725  restarts 3  iters 25796876  (37922/s)  best gates cx 25 tof 20
