[evo_logo_L5_s1_c2] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:16:19] evo_logo_L5_s1_c2     11s  best 3673/4096  current 3673  restarts 0  iters 293126  (26559/s)  best gates cx 52 tof 12
[2026-09-25 00:16:30] evo_logo_L5_s1_c2     21s  best 3689/4096  current 3689  restarts 0  iters 572656  (26719/s)  best gates cx 41 tof 16
[2026-09-25 00:16:44] evo_logo_L5_s1_c2     36s  best 3741/4096  current 3741  restarts 0  iters 985297  (27430/s)  best gates cx 42 tof 17
[2026-09-25 00:16:54] evo_logo_L5_s1_c2     46s  best 3743/4096  current 3743  restarts 0  iters 1278406  (27730/s)  best gates cx 47 tof 13
[2026-09-25 00:17:09] evo_logo_L5_s1_c2     61s  best 3763/4096  current 3763  restarts 0  iters 1714846  (28303/s)  best gates cx 55 tof 19
[2026-09-25 00:17:19] evo_logo_L5_s1_c2     71s  best 3763/4096  current 3763  restarts 0  iters 2032655  (28726/s)  best gates cx 55 tof 19
[2026-09-25 00:17:34] evo_logo_L5_s1_c2     86s  best 3763/4096  current 3763  restarts 0  iters 2499736  (29175/s)  best gates cx 55 tof 19
[2026-09-25 00:17:49] evo_logo_L5_s1_c2    100s  best 3763/4096  current 3763  restarts 0  iters 2974993  (29620/s)  best gates cx 55 tof 19
[2026-09-25 00:17:59] evo_logo_L5_s1_c2    111s  best 3763/4096  current 3763  restarts 0  iters 3296704  (29796/s)  best gates cx 55 tof 19
[2026-09-25 00:18:09] evo_logo_L5_s1_c2    121s  best 3763/4096  current 3763  restarts 0  iters 3612857  (29910/s)  best gates cx 55 tof 19
[2026-09-25 00:18:19] evo_logo_L5_s1_c2    131s  best 3763/4096  current 3763  restarts 0  iters 3921645  (29983/s)  best gates cx 55 tof 19
[2026-09-25 00:18:29] evo_logo_L5_s1_c2    141s  best 3763/4096  current 3763  restarts 0  iters 4229094  (30032/s)  best gates cx 55 tof 19
[2026-09-25 00:18:40] evo_logo_L5_s1_c2    152s  best 3763/4096  current 3605  restarts 1  iters 4535812  (29921/s)  best gates cx 55 tof 19
[2026-09-25 00:18:54] evo_logo_L5_s1_c2    166s  best 3763/4096  current 3697  restarts 1  iters 4977306  (30073/s)  best gates cx 55 tof 19
[2026-09-25 00:19:09] evo_logo_L5_s1_c2    180s  best 3763/4096  current 3739  restarts 1  iters 5480432  (30363/s)  best gates cx 55 tof 19
[2026-09-25 00:19:24] evo_logo_L5_s1_c2    196s  best 3763/4096  current 3743  restarts 1  iters 5982378  (30598/s)  best gates cx 55 tof 19
[2026-09-25 00:19:34] evo_logo_L5_s1_c2    206s  best 3763/4096  current 3743  restarts 1  iters 6308925  (30697/s)  best gates cx 55 tof 19
[2026-09-25 00:19:44] evo_logo_L5_s1_c2    216s  best 3763/4096  current 3743  restarts 1  iters 6641772  (30792/s)  best gates cx 55 tof 19
[2026-09-25 00:19:59] evo_logo_L5_s1_c2    231s  best 3763/4096  current 3743  restarts 1  iters 7130529  (30931/s)  best gates cx 55 tof 19
[2026-09-25 00:20:14] evo_logo_L5_s1_c2    246s  best 3763/4096  current 3755  restarts 1  iters 7630956  (31073/s)  best gates cx 55 tof 19
[2026-09-25 00:20:29] evo_logo_L5_s1_c2    260s  best 3763/4096  current 3755  restarts 1  iters 8134289  (31227/s)  best gates cx 55 tof 19
[2026-09-25 00:20:39] evo_logo_L5_s1_c2    271s  best 3763/4096  current 3755  restarts 1  iters 8473685  (31322/s)  best gates cx 55 tof 19
[2026-09-25 00:20:49] evo_logo_L5_s1_c2    281s  best 3763/4096  current 3755  restarts 1  iters 8807616  (31393/s)  best gates cx 55 tof 19
[2026-09-25 00:21:04] evo_logo_L5_s1_c2    296s  best 3763/4096  current 3755  restarts 1  iters 9305436  (31490/s)  best gates cx 55 tof 19
[2026-09-25 00:21:19] evo_logo_L5_s1_c2    311s  best 3763/4096  current 3755  restarts 1  iters 9810845  (31597/s)  best gates cx 55 tof 19
[2026-09-25 00:21:29] evo_logo_L5_s1_c2    321s  best 3763/4096  current 3755  restarts 1  iters 10147541  (31659/s)  best gates cx 55 tof 19
[2026-09-25 00:21:44] evo_logo_L5_s1_c2    335s  best 3763/4096  current 3755  restarts 1  iters 10654268  (31763/s)  best gates cx 55 tof 19
[2026-09-25 00:21:55] evo_logo_L5_s1_c2    346s  best 3763/4096  current 3729  restarts 2  iters 10971913  (31692/s)  best gates cx 55 tof 19
[2026-09-25 00:22:05] evo_logo_L5_s1_c2    356s  best 3763/4096  current 3729  restarts 2  iters 11264466  (31618/s)  best gates cx 55 tof 19
[2026-09-25 00:22:20] evo_logo_L5_s1_c2    371s  best 3763/4096  current 3729  restarts 2  iters 11700081  (31512/s)  best gates cx 55 tof 19
[2026-09-25 00:22:30] evo_logo_L5_s1_c2    381s  best 3763/4096  current 3729  restarts 2  iters 11996229  (31456/s)  best gates cx 55 tof 19
[2026-09-25 00:22:40] evo_logo_L5_s1_c2    391s  best 3763/4096  current 3729  restarts 2  iters 12281756  (31372/s)  best gates cx 55 tof 19
[2026-09-25 00:22:50] evo_logo_L5_s1_c2    402s  best 3763/4096  current 3729  restarts 2  iters 12562693  (31289/s)  best gates cx 55 tof 19
[2026-09-25 00:23:05] evo_logo_L5_s1_c2    416s  best 3763/4096  current 3729  restarts 2  iters 12982732  (31190/s)  best gates cx 55 tof 19
[2026-09-25 00:23:20] evo_logo_L5_s1_c2    431s  best 3763/4096  current 3743  restarts 2  iters 13425799  (31138/s)  best gates cx 55 tof 19
[2026-09-25 00:23:30] evo_logo_L5_s1_c2    441s  best 3763/4096  current 3747  restarts 2  iters 13716985  (31072/s)  best gates cx 55 tof 19
