[evo_logo_L5_s3] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-24 20:44:35] evo_logo_L5_s3     10s  best 3673/4096  current 3673  restarts 0  iters 322143  (30990/s)  best gates cx 24 tof 17
[2026-09-24 20:44:49] evo_logo_L5_s3     25s  best 3695/4096  current 3695  restarts 0  iters 823795  (32893/s)  best gates cx 27 tof 15
[2026-09-24 20:45:04] evo_logo_L5_s3     40s  best 3805/4096  current 3805  restarts 0  iters 1351555  (33794/s)  best gates cx 24 tof 19
[2026-09-24 20:45:14] evo_logo_L5_s3     50s  best 3805/4096  current 3805  restarts 0  iters 1709657  (34121/s)  best gates cx 24 tof 19
[2026-09-24 20:45:29] evo_logo_L5_s3     65s  best 3819/4096  current 3819  restarts 0  iters 2251781  (34835/s)  best gates cx 26 tof 19
[2026-09-24 20:45:39] evo_logo_L5_s3     75s  best 3819/4096  current 3819  restarts 0  iters 2622066  (34986/s)  best gates cx 26 tof 19
[2026-09-24 20:45:54] evo_logo_L5_s3     90s  best 3819/4096  current 3819  restarts 0  iters 3188243  (35528/s)  best gates cx 26 tof 19
[2026-09-24 20:46:09] evo_logo_L5_s3    105s  best 3821/4096  current 3821  restarts 0  iters 3762066  (35996/s)  best gates cx 32 tof 21
[2026-09-24 20:46:19] evo_logo_L5_s3    115s  best 3821/4096  current 3821  restarts 0  iters 4151760  (36220/s)  best gates cx 32 tof 21
[2026-09-24 20:46:29] evo_logo_L5_s3    125s  best 3821/4096  current 3821  restarts 0  iters 4534706  (36374/s)  best gates cx 32 tof 21
[2026-09-24 20:46:39] evo_logo_L5_s3    135s  best 3821/4096  current 3821  restarts 0  iters 4916941  (36510/s)  best gates cx 32 tof 21
[2026-09-24 20:46:54] evo_logo_L5_s3    150s  best 3855/4096  current 3855  restarts 0  iters 5493557  (36723/s)  best gates cx 31 tof 19
[2026-09-24 20:47:04] evo_logo_L5_s3    160s  best 3859/4096  current 3859  restarts 0  iters 5885386  (36852/s)  best gates cx 33 tof 20
[2026-09-24 20:47:19] evo_logo_L5_s3    175s  best 3859/4096  current 3859  restarts 0  iters 6471259  (37027/s)  best gates cx 33 tof 20
[2026-09-24 20:47:34] evo_logo_L5_s3    190s  best 3863/4096  current 3863  restarts 0  iters 7040178  (37139/s)  best gates cx 29 tof 18
[2026-09-24 20:47:49] evo_logo_L5_s3    205s  best 3863/4096  current 3863  restarts 0  iters 7629243  (37255/s)  best gates cx 29 tof 18
[2026-09-24 20:48:04] evo_logo_L5_s3    220s  best 3871/4096  current 3871  restarts 0  iters 8213113  (37413/s)  best gates cx 29 tof 20
[2026-09-24 20:48:14] evo_logo_L5_s3    230s  best 3881/4096  current 3881  restarts 0  iters 8619533  (37553/s)  best gates cx 35 tof 20
[2026-09-24 20:48:29] evo_logo_L5_s3    244s  best 3903/4096  current 3903  restarts 0  iters 9215909  (37700/s)  best gates cx 32 tof 22
[2026-09-24 20:48:39] evo_logo_L5_s3    255s  best 3903/4096  current 3903  restarts 0  iters 9615100  (37769/s)  best gates cx 32 tof 22
[2026-09-24 20:48:54] evo_logo_L5_s3    269s  best 3903/4096  current 3903  restarts 0  iters 10222435  (37949/s)  best gates cx 32 tof 22
[2026-09-24 20:49:04] evo_logo_L5_s3    279s  best 3903/4096  current 3903  restarts 0  iters 10633373  (38054/s)  best gates cx 32 tof 22
[2026-09-24 20:49:19] evo_logo_L5_s3    295s  best 3903/4096  current 3903  restarts 0  iters 11242150  (38153/s)  best gates cx 32 tof 22
[2026-09-24 20:49:29] evo_logo_L5_s3    305s  best 3903/4096  current 3903  restarts 0  iters 11614995  (38121/s)  best gates cx 32 tof 22
[2026-09-24 20:49:44] evo_logo_L5_s3    319s  best 3903/4096  current 3903  restarts 0  iters 12207897  (38212/s)  best gates cx 32 tof 22
[2026-09-24 20:49:56] evo_logo_L5_s3    331s  best 3903/4096  current 3645  restarts 1  iters 12605349  (38032/s)  best gates cx 32 tof 22
[2026-09-24 20:50:09] evo_logo_L5_s3    345s  best 3903/4096  current 3795  restarts 1  iters 13099537  (37948/s)  best gates cx 32 tof 22
[2026-09-24 20:50:24] evo_logo_L5_s3    360s  best 3903/4096  current 3817  restarts 1  iters 13681032  (37995/s)  best gates cx 32 tof 22
[2026-09-24 20:50:39] evo_logo_L5_s3    375s  best 3903/4096  current 3817  restarts 1  iters 14266119  (38052/s)  best gates cx 32 tof 22
[2026-09-24 20:50:49] evo_logo_L5_s3    385s  best 3903/4096  current 3817  restarts 1  iters 14661886  (38072/s)  best gates cx 32 tof 22
[2026-09-24 20:51:04] evo_logo_L5_s3    400s  best 3903/4096  current 3817  restarts 1  iters 15253775  (38134/s)  best gates cx 32 tof 22
[2026-09-24 20:51:14] evo_logo_L5_s3    410s  best 3903/4096  current 3817  restarts 1  iters 15647399  (38153/s)  best gates cx 32 tof 22
[2026-09-24 20:51:29] evo_logo_L5_s3    425s  best 3903/4096  current 3817  restarts 1  iters 16222570  (38151/s)  best gates cx 32 tof 22
[2026-09-24 20:51:44] evo_logo_L5_s3    440s  best 3903/4096  current 3817  restarts 1  iters 16798467  (38180/s)  best gates cx 32 tof 22
[2026-09-24 20:51:55] evo_logo_L5_s3    451s  best 3903/4096  current 3787  restarts 2  iters 17160712  (38070/s)  best gates cx 32 tof 22
[2026-09-24 20:52:10] evo_logo_L5_s3    465s  best 3903/4096  current 3795  restarts 2  iters 17683104  (37996/s)  best gates cx 32 tof 22
[2026-09-24 20:52:25] evo_logo_L5_s3    481s  best 3903/4096  current 3837  restarts 2  iters 18239991  (37948/s)  best gates cx 32 tof 22
[2026-09-24 20:52:40] evo_logo_L5_s3    495s  best 3903/4096  current 3837  restarts 2  iters 18787689  (37926/s)  best gates cx 32 tof 22
[2026-09-24 20:52:50] evo_logo_L5_s3    505s  best 3903/4096  current 3837  restarts 2  iters 19156767  (37905/s)  best gates cx 32 tof 22
[2026-09-24 20:53:05] evo_logo_L5_s3    521s  best 3903/4096  current 3837  restarts 2  iters 19713627  (37868/s)  best gates cx 32 tof 22
[2026-09-24 20:53:20] evo_logo_L5_s3    535s  best 3903/4096  current 3857  restarts 2  iters 20272123  (37875/s)  best gates cx 32 tof 22
[2026-09-24 20:53:35] evo_logo_L5_s3    550s  best 3903/4096  current 3857  restarts 2  iters 20855591  (37894/s)  best gates cx 32 tof 22
[2026-09-24 20:53:50] evo_logo_L5_s3    565s  best 3903/4096  current 3857  restarts 2  iters 21429797  (37905/s)  best gates cx 32 tof 22
[2026-09-24 20:54:04] evo_logo_L5_s3    580s  best 3903/4096  current 3857  restarts 2  iters 22001969  (37920/s)  best gates cx 32 tof 22
[2026-09-24 20:54:15] evo_logo_L5_s3    590s  best 3903/4096  current 3857  restarts 2  iters 22387815  (37928/s)  best gates cx 32 tof 22
[2026-09-24 20:54:25] evo_logo_L5_s3    600s  best 3903/4096  current 3857  restarts 2  iters 22772274  (37935/s)  best gates cx 32 tof 22
