[ga_L5_s1_k3] init pop 24  fits [3539, 3515, 3487, 3483, 3473, 3469, 3465, 3449]  14s  (LOCAL 400)
[2026-09-24 23:41:38] ga_L5_s1_k3    551s  best 3737/4096  median 3737  worst 3737  children 3622  replaced 357
[2026-09-24 23:41:48] ga_L5_s1_k3    562s  best 3737/4096  median 3737  worst 3737  children 3693  replaced 357
[2026-09-24 23:41:58] ga_L5_s1_k3    572s  best 3737/4096  median 3737  worst 3737  children 3759  replaced 357
[2026-09-24 23:42:08] ga_L5_s1_k3    582s  best 3737/4096  median 3737  worst 3737  children 3830  replaced 357
[2026-09-24 23:42:19] ga_L5_s1_k3    592s  best 3737/4096  median 3737  worst 3737  children 3899  replaced 357
[2026-09-24 23:42:29] ga_L5_s1_k3    602s  best 3737/4096  median 3737  worst 3737  children 3967  replaced 357
[2026-09-24 23:42:39] ga_L5_s1_k3    612s  best 3737/4096  median 3737  worst 3737  children 4036  replaced 357
[2026-09-24 23:42:49] ga_L5_s1_k3    622s  best 3737/4096  median 3737  worst 3737  children 4116  replaced 357
[2026-09-24 23:42:59] ga_L5_s1_k3    633s  best 3737/4096  median 3737  worst 3737  children 4171  replaced 357
[2026-09-24 23:43:09] ga_L5_s1_k3    643s  best 3737/4096  median 3737  worst 3737  children 4233  replaced 357
[2026-09-24 23:43:19] ga_L5_s1_k3    653s  best 3737/4096  median 3737  worst 3737  children 4297  replaced 357
[2026-09-24 23:43:29] ga_L5_s1_k3    663s  best 3737/4096  median 3737  worst 3737  children 4367  replaced 357
[2026-09-24 23:43:40] ga_L5_s1_k3    673s  best 3737/4096  median 3737  worst 3737  children 4438  replaced 357
[2026-09-24 23:43:50] ga_L5_s1_k3    683s  best 3737/4096  median 3737  worst 3737  children 4498  replaced 357
[2026-09-24 23:44:00] ga_L5_s1_k3    693s  best 3737/4096  median 3737  worst 3737  children 4567  replaced 357
[2026-09-24 23:44:10] ga_L5_s1_k3    703s  best 3737/4096  median 3737  worst 3737  children 4633  replaced 357
[2026-09-24 23:44:20] ga_L5_s1_k3    713s  best 3737/4096  median 3737  worst 3737  children 4700  replaced 357
[2026-09-24 23:44:30] ga_L5_s1_k3    724s  best 3737/4096  median 3737  worst 3737  children 4770  replaced 357
[2026-09-24 23:44:40] ga_L5_s1_k3    734s  best 3737/4096  median 3737  worst 3737  children 4841  replaced 357
[2026-09-24 23:44:50] ga_L5_s1_k3    744s  best 3737/4096  median 3737  worst 3737  children 4912  replaced 357
[2026-09-24 23:45:00] ga_L5_s1_k3    754s  best 3737/4096  median 3737  worst 3737  children 4991  replaced 357
[2026-09-24 23:45:10] ga_L5_s1_k3    764s  best 3737/4096  median 3737  worst 3737  children 5060  replaced 357
