[ga_L5_s1_k2] init pop 24  fits [3647, 3645, 3595, 3565, 3563, 3561, 3559, 3549]  17s  (LOCAL 4000)
[2026-09-24 23:32:43] ga_L5_s1_k2     17s  best 3647/4096  median 3493  worst 3415  children 1  replaced 0
[2026-09-24 23:32:53] ga_L5_s1_k2     27s  best 3725/4096  median 3713  worst 3689  children 71  replaced 46
[2026-09-24 23:33:04] ga_L5_s1_k2     38s  best 3777/4096  median 3741  worst 3741  children 144  replaced 97
[2026-09-24 23:33:14] ga_L5_s1_k2     48s  best 3777/4096  median 3777  worst 3777  children 200  replaced 116
[2026-09-24 23:33:25] ga_L5_s1_k2     58s  best 3777/4096  median 3777  worst 3777  children 266  replaced 116
[2026-09-24 23:33:35] ga_L5_s1_k2     69s  best 3777/4096  median 3777  worst 3777  children 347  replaced 116
[2026-09-24 23:33:45] ga_L5_s1_k2     79s  best 3777/4096  median 3777  worst 3777  children 411  replaced 116
[2026-09-24 23:33:55] ga_L5_s1_k2     89s  best 3777/4096  median 3777  worst 3777  children 472  replaced 116
[2026-09-24 23:34:05] ga_L5_s1_k2     99s  best 3777/4096  median 3777  worst 3777  children 525  replaced 116
[2026-09-24 23:34:15] ga_L5_s1_k2    109s  best 3777/4096  median 3777  worst 3777  children 581  replaced 116
[2026-09-24 23:34:25] ga_L5_s1_k2    119s  best 3777/4096  median 3777  worst 3777  children 644  replaced 116
[2026-09-24 23:34:36] ga_L5_s1_k2    130s  best 3777/4096  median 3777  worst 3777  children 700  replaced 116
[2026-09-24 23:34:46] ga_L5_s1_k2    140s  best 3777/4096  median 3777  worst 3777  children 771  replaced 116
[2026-09-24 23:34:56] ga_L5_s1_k2    150s  best 3777/4096  median 3777  worst 3777  children 831  replaced 116
[2026-09-24 23:35:06] ga_L5_s1_k2    160s  best 3777/4096  median 3777  worst 3777  children 891  replaced 116
[2026-09-24 23:35:16] ga_L5_s1_k2    170s  best 3777/4096  median 3777  worst 3777  children 955  replaced 116
[2026-09-24 23:35:26] ga_L5_s1_k2    180s  best 3777/4096  median 3777  worst 3777  children 1017  replaced 116
[2026-09-24 23:35:36] ga_L5_s1_k2    190s  best 3777/4096  median 3777  worst 3777  children 1082  replaced 116
[2026-09-24 23:35:46] ga_L5_s1_k2    200s  best 3777/4096  median 3777  worst 3777  children 1127  replaced 116
[2026-09-24 23:35:57] ga_L5_s1_k2    211s  best 3777/4096  median 3777  worst 3777  children 1193  replaced 116
[2026-09-24 23:36:08] ga_L5_s1_k2    221s  best 3777/4096  median 3777  worst 3777  children 1250  replaced 116
[2026-09-24 23:36:18] ga_L5_s1_k2    231s  best 3777/4096  median 3777  worst 3777  children 1319  replaced 116
[2026-09-24 23:36:28] ga_L5_s1_k2    242s  best 3777/4096  median 3777  worst 3777  children 1396  replaced 116
[2026-09-24 23:36:38] ga_L5_s1_k2    252s  best 3777/4096  median 3777  worst 3777  children 1460  replaced 116
[2026-09-24 23:36:49] ga_L5_s1_k2    262s  best 3777/4096  median 3777  worst 3777  children 1521  replaced 116
[2026-09-24 23:36:59] ga_L5_s1_k2    272s  best 3777/4096  median 3777  worst 3777  children 1579  replaced 116
[2026-09-24 23:37:09] ga_L5_s1_k2    283s  best 3777/4096  median 3777  worst 3777  children 1645  replaced 116
[2026-09-24 23:37:20] ga_L5_s1_k2    293s  best 3793/4096  median 3793  worst 3777  children 1700  replaced 139
[2026-09-24 23:37:30] ga_L5_s1_k2    303s  best 3801/4096  median 3793  worst 3793  children 1764  replaced 145
[2026-09-24 23:37:40] ga_L5_s1_k2    314s  best 3809/4096  median 3801  worst 3801  children 1827  replaced 167
[2026-09-24 23:37:50] ga_L5_s1_k2    324s  best 3817/4096  median 3817  worst 3817  children 1911  replaced 209
[2026-09-24 23:38:01] ga_L5_s1_k2    334s  best 3817/4096  median 3817  worst 3817  children 1970  replaced 209
[2026-09-24 23:38:11] ga_L5_s1_k2    344s  best 3817/4096  median 3817  worst 3817  children 2032  replaced 209
[2026-09-24 23:38:21] ga_L5_s1_k2    354s  best 3817/4096  median 3817  worst 3817  children 2106  replaced 209
[2026-09-24 23:38:31] ga_L5_s1_k2    365s  best 3817/4096  median 3817  worst 3817  children 2164  replaced 209
[2026-09-24 23:38:41] ga_L5_s1_k2    375s  best 3817/4096  median 3817  worst 3817  children 2222  replaced 209
[2026-09-24 23:38:51] ga_L5_s1_k2    385s  best 3817/4096  median 3817  worst 3817  children 2293  replaced 209
[2026-09-24 23:39:01] ga_L5_s1_k2    395s  best 3825/4096  median 3825  worst 3825  children 2361  replaced 233
[2026-09-24 23:39:11] ga_L5_s1_k2    405s  best 3825/4096  median 3825  worst 3825  children 2435  replaced 233
[2026-09-24 23:39:21] ga_L5_s1_k2    415s  best 3825/4096  median 3825  worst 3825  children 2496  replaced 233
[2026-09-24 23:39:32] ga_L5_s1_k2    425s  best 3825/4096  median 3825  worst 3825  children 2578  replaced 233
[2026-09-24 23:39:42] ga_L5_s1_k2    435s  best 3825/4096  median 3825  worst 3825  children 2641  replaced 233
[2026-09-24 23:39:52] ga_L5_s1_k2    445s  best 3825/4096  median 3825  worst 3825  children 2709  replaced 233
[2026-09-24 23:40:02] ga_L5_s1_k2    455s  best 3825/4096  median 3825  worst 3825  children 2762  replaced 233
[2026-09-24 23:40:12] ga_L5_s1_k2    466s  best 3825/4096  median 3825  worst 3825  children 2834  replaced 233
[2026-09-24 23:40:22] ga_L5_s1_k2    476s  best 3825/4096  median 3825  worst 3825  children 2889  replaced 233
[2026-09-24 23:40:33] ga_L5_s1_k2    486s  best 3825/4096  median 3825  worst 3825  children 2961  replaced 233
[2026-09-24 23:40:43] ga_L5_s1_k2    496s  best 3825/4096  median 3825  worst 3825  children 3027  replaced 233
[2026-09-24 23:40:53] ga_L5_s1_k2    506s  best 3825/4096  median 3825  worst 3825  children 3095  replaced 233
[2026-09-24 23:41:03] ga_L5_s1_k2    517s  best 3825/4096  median 3825  worst 3825  children 3150  replaced 233
[2026-09-24 23:41:13] ga_L5_s1_k2    527s  best 3825/4096  median 3825  worst 3825  children 3224  replaced 233
[2026-09-24 23:41:23] ga_L5_s1_k2    537s  best 3825/4096  median 3825  worst 3825  children 3282  replaced 233
[2026-09-24 23:41:34] ga_L5_s1_k2    547s  best 3825/4096  median 3825  worst 3825  children 3369  replaced 233
[2026-09-24 23:41:44] ga_L5_s1_k2    557s  best 3833/4096  median 3825  worst 3825  children 3432  replaced 235
[2026-09-24 23:41:54] ga_L5_s1_k2    567s  best 3833/4096  median 3833  worst 3833  children 3503  replaced 257
[2026-09-24 23:42:04] ga_L5_s1_k2    577s  best 3833/4096  median 3833  worst 3833  children 3568  replaced 257
[2026-09-24 23:42:14] ga_L5_s1_k2    587s  best 3833/4096  median 3833  worst 3833  children 3641  replaced 257
[2026-09-24 23:42:24] ga_L5_s1_k2    598s  best 3833/4096  median 3833  worst 3833  children 3719  replaced 257
[2026-09-24 23:42:34] ga_L5_s1_k2    608s  best 3833/4096  median 3833  worst 3833  children 3777  replaced 257
[2026-09-24 23:42:45] ga_L5_s1_k2    618s  best 3833/4096  median 3833  worst 3833  children 3850  replaced 257
[2026-09-24 23:42:55] ga_L5_s1_k2    628s  best 3833/4096  median 3833  worst 3833  children 3914  replaced 257
[2026-09-24 23:43:05] ga_L5_s1_k2    638s  best 3833/4096  median 3833  worst 3833  children 3984  replaced 257
[2026-09-24 23:43:15] ga_L5_s1_k2    648s  best 3833/4096  median 3833  worst 3833  children 4052  replaced 257
[2026-09-24 23:43:25] ga_L5_s1_k2    658s  best 3833/4096  median 3833  worst 3833  children 4127  replaced 257
[2026-09-24 23:43:35] ga_L5_s1_k2    669s  best 3833/4096  median 3833  worst 3833  children 4179  replaced 257
[2026-09-24 23:43:45] ga_L5_s1_k2    679s  best 3833/4096  median 3833  worst 3833  children 4238  replaced 257
[2026-09-24 23:43:55] ga_L5_s1_k2    689s  best 3833/4096  median 3833  worst 3833  children 4295  replaced 257
[2026-09-24 23:44:05] ga_L5_s1_k2    699s  best 3833/4096  median 3833  worst 3833  children 4361  replaced 257
[2026-09-24 23:44:16] ga_L5_s1_k2    709s  best 3833/4096  median 3833  worst 3833  children 4428  replaced 257
[2026-09-24 23:44:26] ga_L5_s1_k2    719s  best 3833/4096  median 3833  worst 3833  children 4489  replaced 257
[2026-09-24 23:44:36] ga_L5_s1_k2    729s  best 3833/4096  median 3833  worst 3833  children 4547  replaced 257
[2026-09-24 23:44:46] ga_L5_s1_k2    740s  best 3833/4096  median 3833  worst 3833  children 4615  replaced 257
[2026-09-24 23:44:56] ga_L5_s1_k2    750s  best 3833/4096  median 3833  worst 3833  children 4681  replaced 257
[2026-09-24 23:45:06] ga_L5_s1_k2    760s  best 3833/4096  median 3833  worst 3833  children 4749  replaced 257
[2026-09-24 23:45:17] ga_L5_s1_k2    770s  best 3833/4096  median 3833  worst 3833  children 4815  replaced 257
[2026-09-24 23:45:27] ga_L5_s1_k2    781s  best 3841/4096  median 3833  worst 3833  children 4891  replaced 261
[2026-09-24 23:45:37] ga_L5_s1_k2    791s  best 3841/4096  median 3841  worst 3841  children 4972  replaced 281
[2026-09-24 23:45:47] ga_L5_s1_k2    801s  best 3841/4096  median 3841  worst 3841  children 5036  replaced 281
[2026-09-24 23:45:57] ga_L5_s1_k2    811s  best 3841/4096  median 3841  worst 3841  children 5106  replaced 281
[2026-09-24 23:46:08] ga_L5_s1_k2    822s  best 3841/4096  median 3841  worst 3841  children 5180  replaced 281
[2026-09-24 23:46:18] ga_L5_s1_k2    832s  best 3841/4096  median 3841  worst 3841  children 5240  replaced 281
[2026-09-24 23:46:28] ga_L5_s1_k2    842s  best 3841/4096  median 3841  worst 3841  children 5304  replaced 281
[2026-09-24 23:46:39] ga_L5_s1_k2    852s  best 3841/4096  median 3841  worst 3841  children 5372  replaced 281
[2026-09-24 23:46:49] ga_L5_s1_k2    862s  best 3841/4096  median 3841  worst 3841  children 5433  replaced 281
[2026-09-24 23:46:59] ga_L5_s1_k2    872s  best 3841/4096  median 3841  worst 3841  children 5501  replaced 281
[2026-09-24 23:47:09] ga_L5_s1_k2    882s  best 3841/4096  median 3841  worst 3841  children 5566  replaced 281
[2026-09-24 23:47:19] ga_L5_s1_k2    892s  best 3841/4096  median 3841  worst 3841  children 5634  replaced 281
[2026-09-24 23:47:29] ga_L5_s1_k2    902s  best 3841/4096  median 3841  worst 3841  children 5698  replaced 281
[2026-09-24 23:47:39] ga_L5_s1_k2    913s  best 3841/4096  median 3841  worst 3841  children 5755  replaced 281
[2026-09-24 23:47:49] ga_L5_s1_k2    923s  best 3841/4096  median 3841  worst 3841  children 5827  replaced 281
[2026-09-24 23:47:59] ga_L5_s1_k2    933s  best 3841/4096  median 3841  worst 3841  children 5895  replaced 281
[2026-09-24 23:48:09] ga_L5_s1_k2    943s  best 3841/4096  median 3841  worst 3841  children 5959  replaced 281
[2026-09-24 23:48:19] ga_L5_s1_k2    953s  best 3841/4096  median 3841  worst 3841  children 6022  replaced 281
[2026-09-24 23:48:29] ga_L5_s1_k2    963s  best 3841/4096  median 3841  worst 3841  children 6088  replaced 281
[2026-09-24 23:48:40] ga_L5_s1_k2    974s  best 3841/4096  median 3841  worst 3841  children 6156  replaced 281
[2026-09-24 23:48:50] ga_L5_s1_k2    984s  best 3841/4096  median 3841  worst 3841  children 6225  replaced 281
[2026-09-24 23:49:00] ga_L5_s1_k2    994s  best 3841/4096  median 3841  worst 3841  children 6301  replaced 281
[2026-09-24 23:49:10] ga_L5_s1_k2   1004s  best 3841/4096  median 3841  worst 3841  children 6359  replaced 281
[2026-09-24 23:49:20] ga_L5_s1_k2   1014s  best 3841/4096  median 3841  worst 3841  children 6419  replaced 281
[2026-09-24 23:49:30] ga_L5_s1_k2   1024s  best 3841/4096  median 3841  worst 3841  children 6484  replaced 281
[2026-09-24 23:49:40] ga_L5_s1_k2   1034s  best 3841/4096  median 3841  worst 3841  children 6552  replaced 281
[2026-09-24 23:49:50] ga_L5_s1_k2   1044s  best 3841/4096  median 3841  worst 3841  children 6627  replaced 281
[2026-09-24 23:50:00] ga_L5_s1_k2   1054s  best 3841/4096  median 3841  worst 3841  children 6692  replaced 281
[2026-09-24 23:50:10] ga_L5_s1_k2   1064s  best 3841/4096  median 3841  worst 3841  children 6739  replaced 281
[2026-09-24 23:50:21] ga_L5_s1_k2   1074s  best 3841/4096  median 3841  worst 3841  children 6799  replaced 281
[2026-09-24 23:50:31] ga_L5_s1_k2   1084s  best 3841/4096  median 3841  worst 3841  children 6863  replaced 281
[2026-09-24 23:50:41] ga_L5_s1_k2   1094s  best 3841/4096  median 3841  worst 3841  children 6931  replaced 281
[2026-09-24 23:50:51] ga_L5_s1_k2   1105s  best 3841/4096  median 3841  worst 3841  children 6979  replaced 281
[2026-09-24 23:51:01] ga_L5_s1_k2   1115s  best 3841/4096  median 3841  worst 3841  children 7046  replaced 281
[2026-09-24 23:51:11] ga_L5_s1_k2   1125s  best 3841/4096  median 3841  worst 3841  children 7121  replaced 281
[2026-09-24 23:51:22] ga_L5_s1_k2   1135s  best 3841/4096  median 3841  worst 3841  children 7201  replaced 281
[2026-09-24 23:51:32] ga_L5_s1_k2   1145s  best 3841/4096  median 3841  worst 3841  children 7256  replaced 281
[2026-09-24 23:51:42] ga_L5_s1_k2   1155s  best 3841/4096  median 3841  worst 3841  children 7325  replaced 281
[2026-09-24 23:51:52] ga_L5_s1_k2   1165s  best 3841/4096  median 3841  worst 3841  children 7383  replaced 281
[2026-09-24 23:52:02] ga_L5_s1_k2   1175s  best 3841/4096  median 3841  worst 3841  children 7455  replaced 281
[2026-09-24 23:52:12] ga_L5_s1_k2   1186s  best 3841/4096  median 3841  worst 3841  children 7518  replaced 281
[2026-09-24 23:52:23] ga_L5_s1_k2   1196s  best 3841/4096  median 3841  worst 3841  children 7586  replaced 281
[2026-09-24 23:52:26] ga_L5_s1_k2   1200s  best 3841/4096  median 3841  worst 3841  children 7613  replaced 281
[ga_L5_s1_k2] final best 3841 / 4096  readout (12, 17, 0, 0)
