[evo_logo_L5_s6] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:25:29] evo_logo_L5_s6    560s  best 3845/4096  current 3705  restarts 3  iters 21241952  (37917/s)  best gates cx 33 tof 17
[2026-09-25 00:25:39] evo_logo_L5_s6    570s  best 3845/4096  current 3705  restarts 3  iters 21609588  (37895/s)  best gates cx 33 tof 17
[2026-09-25 00:25:54] evo_logo_L5_s6    585s  best 3845/4096  current 3705  restarts 3  iters 22163102  (37875/s)  best gates cx 33 tof 17
[2026-09-25 00:26:09] evo_logo_L5_s6    600s  best 3845/4096  current 3705  restarts 3  iters 22724435  (37858/s)  best gates cx 33 tof 17
[2026-09-25 00:26:23] evo_logo_L5_s6    615s  best 3845/4096  current 3785  restarts 3  iters 23280373  (37862/s)  best gates cx 33 tof 17
[2026-09-25 00:26:38] evo_logo_L5_s6    630s  best 3845/4096  current 3785  restarts 3  iters 23871996  (37889/s)  best gates cx 33 tof 17
[2026-09-25 00:26:53] evo_logo_L5_s6    645s  best 3845/4096  current 3785  restarts 3  iters 24459270  (37929/s)  best gates cx 33 tof 17
[2026-09-25 00:27:03] evo_logo_L5_s6    655s  best 3845/4096  current 3785  restarts 3  iters 24857714  (37956/s)  best gates cx 33 tof 17
[2026-09-25 00:27:18] evo_logo_L5_s6    670s  best 3845/4096  current 3785  restarts 3  iters 25448900  (37990/s)  best gates cx 33 tof 17
[2026-09-25 00:27:33] evo_logo_L5_s6    685s  best 3845/4096  current 3785  restarts 3  iters 26044385  (38025/s)  best gates cx 33 tof 17
[2026-09-25 00:27:43] evo_logo_L5_s6    695s  best 3845/4096  current 3785  restarts 3  iters 26432948  (38033/s)  best gates cx 33 tof 17
[2026-09-25 00:27:55] evo_logo_L5_s6    706s  best 3845/4096  current 3653  restarts 4  iters 26818935  (37969/s)  best gates cx 33 tof 17
[2026-09-25 00:28:09] evo_logo_L5_s6    721s  best 3845/4096  current 3709  restarts 4  iters 27315176  (37900/s)  best gates cx 33 tof 17
[2026-09-25 00:28:24] evo_logo_L5_s6    736s  best 3845/4096  current 3717  restarts 4  iters 27841744  (37847/s)  best gates cx 33 tof 17
[2026-09-25 00:28:38] evo_logo_L5_s6    750s  best 3845/4096  current 3801  restarts 4  iters 28397311  (37859/s)  best gates cx 33 tof 17
[2026-09-25 00:28:53] evo_logo_L5_s6    765s  best 3845/4096  current 3801  restarts 4  iters 29000054  (37908/s)  best gates cx 33 tof 17
[2026-09-25 00:29:04] evo_logo_L5_s6    775s  best 3845/4096  current 3801  restarts 4  iters 29394104  (37921/s)  best gates cx 33 tof 17
[2026-09-25 00:29:19] evo_logo_L5_s6    790s  best 3845/4096  current 3801  restarts 4  iters 29992411  (37956/s)  best gates cx 33 tof 17
[2026-09-25 00:29:33] evo_logo_L5_s6    805s  best 3845/4096  current 3819  restarts 4  iters 30589308  (37997/s)  best gates cx 33 tof 17
[2026-09-25 00:29:48] evo_logo_L5_s6    820s  best 3845/4096  current 3819  restarts 4  iters 31198692  (38052/s)  best gates cx 33 tof 17
[2026-09-25 00:29:58] evo_logo_L5_s6    830s  best 3845/4096  current 3819  restarts 4  iters 31607467  (38086/s)  best gates cx 33 tof 17
[2026-09-25 00:30:08] evo_logo_L5_s6    840s  best 3845/4096  current 3819  restarts 4  iters 32021701  (38124/s)  best gates cx 33 tof 17
[2026-09-25 00:30:23] evo_logo_L5_s6    855s  best 3845/4096  current 3819  restarts 4  iters 32645851  (38186/s)  best gates cx 33 tof 17
[2026-09-25 00:30:33] evo_logo_L5_s6    865s  best 3845/4096  current 3819  restarts 4  iters 33062626  (38226/s)  best gates cx 33 tof 17
[2026-09-25 00:30:48] evo_logo_L5_s6    880s  best 3845/4096  current 3819  restarts 4  iters 33678771  (38275/s)  best gates cx 33 tof 17
[2026-09-25 00:30:58] evo_logo_L5_s6    890s  best 3845/4096  current 3819  restarts 4  iters 34093333  (38310/s)  best gates cx 33 tof 17
[2026-09-25 00:31:10] evo_logo_L5_s6    901s  best 3845/4096  current 3657  restarts 5  iters 34507274  (38291/s)  best gates cx 33 tof 17
[2026-09-25 00:31:24] evo_logo_L5_s6    916s  best 3845/4096  current 3729  restarts 5  iters 35035836  (38263/s)  best gates cx 33 tof 17
[2026-09-25 00:31:34] evo_logo_L5_s6    926s  best 3845/4096  current 3729  restarts 5  iters 35396121  (38226/s)  best gates cx 33 tof 17
[2026-09-25 00:31:49] evo_logo_L5_s6    941s  best 3845/4096  current 3785  restarts 5  iters 35922931  (38191/s)  best gates cx 33 tof 17
[2026-09-25 00:32:04] evo_logo_L5_s6    955s  best 3859/4096  current 3859  restarts 5  iters 36501824  (38205/s)  best gates cx 31 tof 21
[2026-09-25 00:32:19] evo_logo_L5_s6    970s  best 3863/4096  current 3863  restarts 5  iters 37087002  (38222/s)  best gates cx 30 tof 20
[2026-09-25 00:32:29] evo_logo_L5_s6    980s  best 3863/4096  current 3863  restarts 5  iters 37484143  (38234/s)  best gates cx 30 tof 20
[2026-09-25 00:32:44] evo_logo_L5_s6    995s  best 3863/4096  current 3863  restarts 5  iters 38081468  (38263/s)  best gates cx 30 tof 20
[2026-09-25 00:32:54] evo_logo_L5_s6   1005s  best 3863/4096  current 3863  restarts 5  iters 38484700  (38281/s)  best gates cx 30 tof 20
[2026-09-25 00:33:09] evo_logo_L5_s6   1020s  best 3863/4096  current 3863  restarts 5  iters 39086811  (38308/s)  best gates cx 30 tof 20
[2026-09-25 00:33:24] evo_logo_L5_s6   1035s  best 3863/4096  current 3863  restarts 5  iters 39689785  (38337/s)  best gates cx 30 tof 20
[2026-09-25 00:33:34] evo_logo_L5_s6   1045s  best 3863/4096  current 3863  restarts 5  iters 40085824  (38345/s)  best gates cx 30 tof 20
[2026-09-25 00:33:49] evo_logo_L5_s6   1060s  best 3863/4096  current 3863  restarts 5  iters 40684838  (38371/s)  best gates cx 30 tof 20
[2026-09-25 00:33:59] evo_logo_L5_s6   1071s  best 3863/4096  current 3673  restarts 6  iters 41053772  (38332/s)  best gates cx 30 tof 20
[2026-09-25 00:34:14] evo_logo_L5_s6   1086s  best 3863/4096  current 3705  restarts 6  iters 41588587  (38304/s)  best gates cx 30 tof 20
[2026-09-25 00:34:29] evo_logo_L5_s6   1101s  best 3863/4096  current 3731  restarts 6  iters 42146842  (38291/s)  best gates cx 30 tof 20
[2026-09-25 00:34:39] evo_logo_L5_s6   1111s  best 3863/4096  current 3731  restarts 6  iters 42523771  (38284/s)  best gates cx 30 tof 20
[2026-09-25 00:34:49] evo_logo_L5_s6   1121s  best 3863/4096  current 3731  restarts 6  iters 42896641  (38275/s)  best gates cx 30 tof 20
[2026-09-25 00:34:59] evo_logo_L5_s6   1131s  best 3863/4096  current 3731  restarts 6  iters 43267886  (38263/s)  best gates cx 30 tof 20
[2026-09-25 00:35:14] evo_logo_L5_s6   1146s  best 3863/4096  current 3731  restarts 6  iters 43826651  (38255/s)  best gates cx 30 tof 20
[2026-09-25 00:35:24] evo_logo_L5_s6   1156s  best 3863/4096  current 3731  restarts 6  iters 44208276  (38247/s)  best gates cx 30 tof 20
[2026-09-25 00:35:39] evo_logo_L5_s6   1171s  best 3863/4096  current 3737  restarts 6  iters 44764120  (38239/s)  best gates cx 30 tof 20
[2026-09-25 00:35:54] evo_logo_L5_s6   1185s  best 3863/4096  current 3777  restarts 6  iters 45349510  (38256/s)  best gates cx 30 tof 20
[2026-09-25 00:36:04] evo_logo_L5_s6   1195s  best 3863/4096  current 3777  restarts 6  iters 45746690  (38268/s)  best gates cx 30 tof 20
[2026-09-25 00:36:14] evo_logo_L5_s6   1205s  best 3863/4096  current 3777  restarts 6  iters 46137269  (38273/s)  best gates cx 30 tof 20
[2026-09-25 00:36:24] evo_logo_L5_s6   1215s  best 3863/4096  current 3777  restarts 6  iters 46536028  (38286/s)  best gates cx 30 tof 20
[2026-09-25 00:36:34] evo_logo_L5_s6   1226s  best 3863/4096  current 3777  restarts 6  iters 46930763  (38290/s)  best gates cx 30 tof 20
[2026-09-25 00:36:49] evo_logo_L5_s6   1241s  best 3863/4096  current 3777  restarts 6  iters 47511755  (38297/s)  best gates cx 30 tof 20
[2026-09-25 00:37:04] evo_logo_L5_s6   1256s  best 3863/4096  current 3777  restarts 6  iters 48098218  (38309/s)  best gates cx 30 tof 20
[2026-09-25 00:37:19] evo_logo_L5_s6   1270s  best 3863/4096  current 3777  restarts 6  iters 48699491  (38334/s)  best gates cx 30 tof 20
[2026-09-25 00:37:30] evo_logo_L5_s6   1281s  best 3863/4096  current 3607  restarts 7  iters 49069179  (38293/s)  best gates cx 30 tof 20
[2026-09-25 00:37:45] evo_logo_L5_s6   1296s  best 3863/4096  current 3697  restarts 7  iters 49578172  (38246/s)  best gates cx 30 tof 20
[2026-09-25 00:38:00] evo_logo_L5_s6   1311s  best 3863/4096  current 3735  restarts 7  iters 50107215  (38216/s)  best gates cx 30 tof 20
[2026-09-25 00:38:14] evo_logo_L5_s6   1326s  best 3863/4096  current 3761  restarts 7  iters 50648439  (38199/s)  best gates cx 30 tof 20
[2026-09-25 00:38:29] evo_logo_L5_s6   1341s  best 3863/4096  current 3767  restarts 7  iters 51215904  (38193/s)  best gates cx 30 tof 20
[2026-09-25 00:38:44] evo_logo_L5_s6   1356s  best 3863/4096  current 3767  restarts 7  iters 51779086  (38189/s)  best gates cx 30 tof 20
[2026-09-25 00:38:59] evo_logo_L5_s6   1371s  best 3863/4096  current 3807  restarts 7  iters 52350454  (38191/s)  best gates cx 30 tof 20
[2026-09-25 00:39:14] evo_logo_L5_s6   1386s  best 3863/4096  current 3815  restarts 7  iters 52936952  (38203/s)  best gates cx 30 tof 20
[2026-09-25 00:39:24] evo_logo_L5_s6   1396s  best 3863/4096  current 3815  restarts 7  iters 53328997  (38205/s)  best gates cx 30 tof 20
[2026-09-25 00:39:39] evo_logo_L5_s6   1411s  best 3863/4096  current 3815  restarts 7  iters 53912183  (38217/s)  best gates cx 30 tof 20
[2026-09-25 00:39:49] evo_logo_L5_s6   1421s  best 3863/4096  current 3815  restarts 7  iters 54299754  (38220/s)  best gates cx 30 tof 20
[2026-09-25 00:39:59] evo_logo_L5_s6   1431s  best 3863/4096  current 3823  restarts 7  iters 54689075  (38224/s)  best gates cx 30 tof 20
[2026-09-25 00:40:09] evo_logo_L5_s6   1441s  best 3863/4096  current 3823  restarts 7  iters 55076388  (38227/s)  best gates cx 30 tof 20
[2026-09-25 00:40:24] evo_logo_L5_s6   1456s  best 3863/4096  current 3825  restarts 7  iters 55663373  (38240/s)  best gates cx 30 tof 20
[2026-09-25 00:40:34] evo_logo_L5_s6   1466s  best 3863/4096  current 3825  restarts 7  iters 56060641  (38250/s)  best gates cx 30 tof 20
[2026-09-25 00:40:44] evo_logo_L5_s6   1476s  best 3863/4096  current 3825  restarts 7  iters 56455714  (38257/s)  best gates cx 30 tof 20
[2026-09-25 00:40:59] evo_logo_L5_s6   1491s  best 3863/4096  current 3825  restarts 7  iters 57052576  (38273/s)  best gates cx 30 tof 20
[2026-09-25 00:41:09] evo_logo_L5_s6   1501s  best 3863/4096  current 3825  restarts 7  iters 57446705  (38277/s)  best gates cx 30 tof 20
[2026-09-25 00:41:19] evo_logo_L5_s6   1511s  best 3863/4096  current 3825  restarts 7  iters 57840147  (38284/s)  best gates cx 30 tof 20
[2026-09-25 00:41:34] evo_logo_L5_s6   1526s  best 3863/4096  current 3825  restarts 7  iters 58423777  (38296/s)  best gates cx 30 tof 20
[2026-09-25 00:41:44] evo_logo_L5_s6   1536s  best 3863/4096  current 3825  restarts 7  iters 58823958  (38300/s)  best gates cx 30 tof 20
[2026-09-25 00:42:00] evo_logo_L5_s6   1552s  best 3863/4096  current 3671  restarts 8  iters 59415627  (38295/s)  best gates cx 30 tof 20
