[evo_logo_L5_s1_c3] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:24:51] evo_logo_L5_s1_c3    523s  best 3775/4096  current 3715  restarts 2  iters 12958224  (24798/s)  best gates cx 83 tof 19
[2026-09-25 00:25:01] evo_logo_L5_s1_c3    533s  best 3775/4096  current 3715  restarts 2  iters 13180954  (24749/s)  best gates cx 83 tof 19
[2026-09-25 00:25:16] evo_logo_L5_s1_c3    547s  best 3775/4096  current 3749  restarts 2  iters 13522657  (24714/s)  best gates cx 83 tof 19
[2026-09-25 00:25:26] evo_logo_L5_s1_c3    557s  best 3775/4096  current 3749  restarts 2  iters 13756263  (24681/s)  best gates cx 83 tof 19
[2026-09-25 00:25:40] evo_logo_L5_s1_c3    572s  best 3775/4096  current 3757  restarts 2  iters 14111249  (24669/s)  best gates cx 83 tof 19
[2026-09-25 00:25:51] evo_logo_L5_s1_c3    582s  best 3775/4096  current 3757  restarts 2  iters 14358851  (24664/s)  best gates cx 83 tof 19
[2026-09-25 00:26:01] evo_logo_L5_s1_c3    592s  best 3775/4096  current 3757  restarts 2  iters 14591652  (24636/s)  best gates cx 83 tof 19
[2026-09-25 00:26:16] evo_logo_L5_s1_c3    607s  best 3775/4096  current 3757  restarts 2  iters 14939360  (24597/s)  best gates cx 83 tof 19
[2026-09-25 00:26:26] evo_logo_L5_s1_c3    617s  best 3775/4096  current 3757  restarts 2  iters 15168310  (24567/s)  best gates cx 83 tof 19
[2026-09-25 00:26:36] evo_logo_L5_s1_c3    628s  best 3775/4096  current 3757  restarts 2  iters 15397144  (24532/s)  best gates cx 83 tof 19
[2026-09-25 00:26:51] evo_logo_L5_s1_c3    642s  best 3775/4096  current 3757  restarts 2  iters 15735551  (24493/s)  best gates cx 83 tof 19
[2026-09-25 00:27:06] evo_logo_L5_s1_c3    658s  best 3775/4096  current 3611  restarts 3  iters 16081072  (24439/s)  best gates cx 83 tof 19
[2026-09-25 00:27:20] evo_logo_L5_s1_c3    672s  best 3775/4096  current 3645  restarts 3  iters 16429464  (24451/s)  best gates cx 83 tof 19
[2026-09-25 00:27:35] evo_logo_L5_s1_c3    687s  best 3775/4096  current 3715  restarts 3  iters 16817808  (24485/s)  best gates cx 83 tof 19
[2026-09-25 00:27:50] evo_logo_L5_s1_c3    702s  best 3775/4096  current 3749  restarts 3  iters 17225731  (24551/s)  best gates cx 83 tof 19
[2026-09-25 00:28:00] evo_logo_L5_s1_c3    712s  best 3775/4096  current 3749  restarts 3  iters 17500290  (24587/s)  best gates cx 83 tof 19
[2026-09-25 00:28:15] evo_logo_L5_s1_c3    727s  best 3775/4096  current 3759  restarts 3  iters 17911551  (24650/s)  best gates cx 83 tof 19
[2026-09-25 00:28:30] evo_logo_L5_s1_c3    742s  best 3775/4096  current 3759  restarts 3  iters 18328047  (24716/s)  best gates cx 83 tof 19
[2026-09-25 00:28:45] evo_logo_L5_s1_c3    756s  best 3775/4096  current 3765  restarts 3  iters 18747473  (24785/s)  best gates cx 83 tof 19
[2026-09-25 00:29:00] evo_logo_L5_s1_c3    771s  best 3775/4096  current 3765  restarts 3  iters 19186522  (24872/s)  best gates cx 83 tof 19
[2026-09-25 00:29:10] evo_logo_L5_s1_c3    781s  best 3775/4096  current 3765  restarts 3  iters 19474073  (24920/s)  best gates cx 83 tof 19
[2026-09-25 00:29:20] evo_logo_L5_s1_c3    791s  best 3775/4096  current 3765  restarts 3  iters 19765365  (24973/s)  best gates cx 83 tof 19
[2026-09-25 00:29:30] evo_logo_L5_s1_c3    802s  best 3775/4096  current 3765  restarts 3  iters 20055107  (25019/s)  best gates cx 83 tof 19
