[span_L7_s63_c1_z3_long] start fitness 3232 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 07:25:56] span_L7_s63_c1_z3_long    534s  best 3628/4096  current 3620  kicks 3  iters 1268689 (2377/s)  best: cx 40 tof 25
[2026-09-25 07:26:11] span_L7_s63_c1_z3_long    548s  best 3633/4096  current 3633  kicks 3  iters 1298456 (2367/s)  best: cx 39 tof 30
[2026-09-25 07:26:25] span_L7_s63_c1_z3_long    563s  best 3633/4096  current 3628  kicks 3  iters 1328315 (2358/s)  best: cx 39 tof 30
[2026-09-25 07:26:41] span_L7_s63_c1_z3_long    579s  best 3633/4096  current 3631  kicks 3  iters 1358996 (2348/s)  best: cx 39 tof 30
[2026-09-25 07:26:55] span_L7_s63_c1_z3_long    593s  best 3633/4096  current 3628  kicks 3  iters 1388615 (2340/s)  best: cx 39 tof 30
[2026-09-25 07:27:06] span_L7_s63_c1_z3_long    604s  best 3633/4096  current 3628  kicks 3  iters 1408564 (2332/s)  best: cx 39 tof 30
[2026-09-25 07:27:21] span_L7_s63_c1_z3_long    618s  best 3633/4096  current 3527  kicks 4  iters 1439497 (2327/s)  best: cx 39 tof 30
[2026-09-25 07:27:31] span_L7_s63_c1_z3_long    628s  best 3633/4096  current 3541  kicks 4  iters 1460205 (2323/s)  best: cx 39 tof 30
[2026-09-25 07:27:46] span_L7_s63_c1_z3_long    644s  best 3633/4096  current 3555  kicks 4  iters 1491726 (2317/s)  best: cx 39 tof 30
[2026-09-25 07:28:00] span_L7_s63_c1_z3_long    658s  best 3633/4096  current 3558  kicks 4  iters 1522993 (2313/s)  best: cx 39 tof 30
[2026-09-25 07:28:11] span_L7_s63_c1_z3_long    669s  best 3633/4096  current 3559  kicks 4  iters 1544221 (2309/s)  best: cx 39 tof 30
[2026-09-25 07:28:26] span_L7_s63_c1_z3_long    684s  best 3633/4096  current 3594  kicks 5  iters 1576706 (2306/s)  best: cx 39 tof 30
[2026-09-25 07:28:36] span_L7_s63_c1_z3_long    694s  best 3633/4096  current 3605  kicks 5  iters 1596408 (2299/s)  best: cx 39 tof 30
[2026-09-25 07:28:51] span_L7_s63_c1_z3_long    709s  best 3633/4096  current 3610  kicks 5  iters 1624673 (2290/s)  best: cx 39 tof 30
[2026-09-25 07:29:02] span_L7_s63_c1_z3_long    720s  best 3633/4096  current 3618  kicks 5  iters 1643161 (2283/s)  best: cx 39 tof 30
[2026-09-25 07:29:17] span_L7_s63_c1_z3_long    734s  best 3633/4096  current 3625  kicks 5  iters 1669009 (2272/s)  best: cx 39 tof 30
[2026-09-25 07:29:31] span_L7_s63_c1_z3_long    749s  best 3633/4096  current 3592  kicks 6  iters 1699880 (2270/s)  best: cx 39 tof 30
[2026-09-25 07:29:46] span_L7_s63_c1_z3_long    764s  best 3633/4096  current 3596  kicks 6  iters 1732122 (2267/s)  best: cx 39 tof 30
[2026-09-25 07:30:01] span_L7_s63_c1_z3_long    779s  best 3633/4096  current 3602  kicks 6  iters 1764415 (2265/s)  best: cx 39 tof 30
[2026-09-25 07:30:11] span_L7_s63_c1_z3_long    789s  best 3633/4096  current 3606  kicks 6  iters 1785802 (2263/s)  best: cx 39 tof 30
[2026-09-25 07:30:25] span_L7_s63_c1_z3_long    803s  best 3633/4096  current 3520  kicks 7  iters 1817846 (2263/s)  best: cx 39 tof 30
[2026-09-25 07:30:36] span_L7_s63_c1_z3_long    814s  best 3633/4096  current 3536  kicks 7  iters 1841157 (2262/s)  best: cx 39 tof 30
[2026-09-25 07:30:51] span_L7_s63_c1_z3_long    829s  best 3633/4096  current 3533  kicks 7  iters 1873422 (2260/s)  best: cx 39 tof 30
