[evo3_logo_L6_s1] start fitness 3269 / 4096  P3 0.30  restart after 90s without gain
[2026-09-25 02:12:26] evo3_logo_L6_s1    435s  best 3903/4096  current 3903  restarts 1  iters 15906489 (36547/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:12:41] evo3_logo_L6_s1    450s  best 3903/4096  current 3903  restarts 1  iters 16480269 (36608/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:12:56] evo3_logo_L6_s1    465s  best 3903/4096  current 3903  restarts 1  iters 17058588 (36666/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:13:12] evo3_logo_L6_s1    481s  best 3903/4096  current 3733  restarts 2  iters 17630115 (36659/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:13:27] evo3_logo_L6_s1    496s  best 3903/4096  current 3743  restarts 2  iters 18148374 (36618/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:13:37] evo3_logo_L6_s1    506s  best 3903/4096  current 3743  restarts 2  iters 18497541 (36574/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:13:51] evo3_logo_L6_s1    521s  best 3903/4096  current 3783  restarts 2  iters 19029000 (36554/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:14:06] evo3_logo_L6_s1    536s  best 3903/4096  current 3793  restarts 2  iters 19576203 (36555/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:14:21] evo3_logo_L6_s1    550s  best 3903/4096  current 3793  restarts 2  iters 20123366 (36562/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:14:31] evo3_logo_L6_s1    561s  best 3903/4096  current 3793  restarts 2  iters 20494049 (36559/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:14:42] evo3_logo_L6_s1    571s  best 3903/4096  current 3793  restarts 2  iters 20858080 (36544/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:14:56] evo3_logo_L6_s1    586s  best 3903/4096  current 3797  restarts 2  iters 21393742 (36537/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:15:11] evo3_logo_L6_s1    600s  best 3903/4096  current 3797  restarts 2  iters 21937859 (36534/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:15:21] evo3_logo_L6_s1    611s  best 3903/4096  current 3797  restarts 2  iters 22304195 (36531/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:15:37] evo3_logo_L6_s1    626s  best 3903/4096  current 3797  restarts 2  iters 22859943 (36535/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:15:51] evo3_logo_L6_s1    641s  best 3903/4096  current 3797  restarts 2  iters 23396423 (36524/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:16:02] evo3_logo_L6_s1    651s  best 3903/4096  current 3797  restarts 2  iters 23760531 (36520/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:16:12] evo3_logo_L6_s1    661s  best 3903/4096  current 3797  restarts 2  iters 24122256 (36510/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:16:27] evo3_logo_L6_s1    676s  best 3903/4096  current 3673  restarts 3  iters 24669701 (36468/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:16:42] evo3_logo_L6_s1    691s  best 3903/4096  current 3817  restarts 3  iters 25166765 (36417/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:16:57] evo3_logo_L6_s1    706s  best 3903/4096  current 3817  restarts 3  iters 25687088 (36392/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
