[ga_L6_s1_k2] init pop 24  fits [3593, 3559, 3557, 3557, 3539, 3539, 3537, 3521]  18s  (LOCAL 4000)
[2026-09-24 23:32:45] ga_L6_s1_k2     18s  best 3593/4096  median 3495  worst 3431  children 1  replaced 0
[2026-09-24 23:32:55] ga_L6_s1_k2     29s  best 3619/4096  median 3593  worst 3545  children 64  replaced 27
[2026-09-24 23:33:05] ga_L6_s1_k2     39s  best 3621/4096  median 3609  worst 3593  children 121  replaced 48
[2026-09-24 23:33:15] ga_L6_s1_k2     49s  best 3631/4096  median 3619  worst 3611  children 173  replaced 66
[2026-09-24 23:33:26] ga_L6_s1_k2     59s  best 3665/4096  median 3619  worst 3619  children 219  replaced 71
[2026-09-24 23:33:36] ga_L6_s1_k2     70s  best 3727/4096  median 3631  worst 3619  children 262  replaced 85
[2026-09-24 23:33:46] ga_L6_s1_k2     80s  best 3763/4096  median 3749  worst 3731  children 313  replaced 121
[2026-09-24 23:33:57] ga_L6_s1_k2     90s  best 3763/4096  median 3763  worst 3749  children 347  replaced 134
[2026-09-24 23:34:07] ga_L6_s1_k2    101s  best 3763/4096  median 3763  worst 3763  children 395  replaced 143
[2026-09-24 23:34:18] ga_L6_s1_k2    111s  best 3763/4096  median 3763  worst 3763  children 448  replaced 143
[2026-09-24 23:34:28] ga_L6_s1_k2    122s  best 3763/4096  median 3763  worst 3763  children 507  replaced 143
[2026-09-24 23:34:38] ga_L6_s1_k2    132s  best 3763/4096  median 3763  worst 3763  children 560  replaced 143
[2026-09-24 23:34:48] ga_L6_s1_k2    142s  best 3763/4096  median 3763  worst 3763  children 606  replaced 143
[2026-09-24 23:34:58] ga_L6_s1_k2    152s  best 3763/4096  median 3763  worst 3763  children 656  replaced 143
[2026-09-24 23:35:08] ga_L6_s1_k2    162s  best 3763/4096  median 3763  worst 3763  children 721  replaced 143
[2026-09-24 23:35:19] ga_L6_s1_k2    173s  best 3763/4096  median 3763  worst 3763  children 776  replaced 143
[2026-09-24 23:35:29] ga_L6_s1_k2    183s  best 3771/4096  median 3763  worst 3763  children 834  replaced 155
[2026-09-24 23:35:40] ga_L6_s1_k2    193s  best 3771/4096  median 3771  worst 3771  children 876  replaced 167
