basis ckpt/basis_s1.pkl: 286 ANF monomials
[span_L6_s76_c1_z3_basis] start fitness 3824 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 10:46:28] span_L6_s76_c1_z3_basis    519s  best 3890/4096  current 3836  kicks 5  iters 1179628 (2273/s)  best: cx 35 tof 22
[2026-09-25 10:46:43] span_L6_s76_c1_z3_basis    534s  best 3890/4096  current 3830  kicks 5  iters 1216920 (2278/s)  best: cx 35 tof 22
[2026-09-25 10:46:54] span_L6_s76_c1_z3_basis    545s  best 3890/4096  current 3834  kicks 5  iters 1241449 (2278/s)  best: cx 35 tof 22
[2026-09-25 10:47:08] span_L6_s76_c1_z3_basis    559s  best 3890/4096  current 3845  kicks 6  iters 1274345 (2280/s)  best: cx 35 tof 22
[2026-09-25 10:47:18] span_L6_s76_c1_z3_basis    569s  best 3890/4096  current 3836  kicks 6  iters 1298719 (2282/s)  best: cx 35 tof 22
[2026-09-25 10:47:28] span_L6_s76_c1_z3_basis    579s  best 3890/4096  current 3833  kicks 6  iters 1323239 (2284/s)  best: cx 35 tof 22
[2026-09-25 10:47:39] span_L6_s76_c1_z3_basis    590s  best 3890/4096  current 3849  kicks 6  iters 1347290 (2282/s)  best: cx 35 tof 22
[2026-09-25 10:47:53] span_L6_s76_c1_z3_basis    604s  best 3890/4096  current 3838  kicks 6  iters 1381656 (2286/s)  best: cx 35 tof 22
[2026-09-25 10:48:04] span_L6_s76_c1_z3_basis    615s  best 3890/4096  current 3831  kicks 6  iters 1405147 (2284/s)  best: cx 35 tof 22
[2026-09-25 10:48:19] span_L6_s76_c1_z3_basis    630s  best 3890/4096  current 3838  kicks 7  iters 1439377 (2285/s)  best: cx 35 tof 22
[2026-09-25 10:48:29] span_L6_s76_c1_z3_basis    640s  best 3890/4096  current 3833  kicks 7  iters 1462191 (2285/s)  best: cx 35 tof 22
[2026-09-25 10:48:44] span_L6_s76_c1_z3_basis    655s  best 3890/4096  current 3835  kicks 7  iters 1497154 (2287/s)  best: cx 35 tof 22
[2026-09-25 10:48:55] span_L6_s76_c1_z3_basis    666s  best 3890/4096  current 3860  kicks 7  iters 1520622 (2284/s)  best: cx 35 tof 22
