[evo_logo_L5_s2] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-24 20:44:34] evo_logo_L5_s2     10s  best 3727/4096  current 3727  restarts 0  iters 348820  (34397/s)  best gates cx 20 tof 21
[2026-09-24 20:44:49] evo_logo_L5_s2     25s  best 3749/4096  current 3749  restarts 0  iters 897596  (36552/s)  best gates cx 23 tof 21
[2026-09-24 20:44:59] evo_logo_L5_s2     35s  best 3753/4096  current 3753  restarts 0  iters 1267913  (36606/s)  best gates cx 24 tof 18
[2026-09-24 20:45:09] evo_logo_L5_s2     45s  best 3753/4096  current 3753  restarts 0  iters 1644109  (36449/s)  best gates cx 24 tof 18
[2026-09-24 20:45:24] evo_logo_L5_s2     60s  best 3753/4096  current 3753  restarts 0  iters 2187176  (36576/s)  best gates cx 24 tof 18
[2026-09-24 20:45:34] evo_logo_L5_s2     70s  best 3753/4096  current 3753  restarts 0  iters 2563856  (36558/s)  best gates cx 24 tof 18
[2026-09-24 20:45:49] evo_logo_L5_s2     85s  best 3753/4096  current 3753  restarts 0  iters 3125668  (36885/s)  best gates cx 24 tof 18
[2026-09-24 20:45:59] evo_logo_L5_s2     95s  best 3753/4096  current 3753  restarts 0  iters 3504641  (36973/s)  best gates cx 24 tof 18
[2026-09-24 20:46:14] evo_logo_L5_s2    110s  best 3753/4096  current 3753  restarts 0  iters 4080547  (37091/s)  best gates cx 24 tof 18
[2026-09-24 20:46:29] evo_logo_L5_s2    125s  best 3753/4096  current 3753  restarts 0  iters 4647269  (37259/s)  best gates cx 24 tof 18
[2026-09-24 20:46:40] evo_logo_L5_s2    135s  best 3753/4096  current 3737  restarts 1  iters 4993676  (36888/s)  best gates cx 24 tof 18
[2026-09-24 20:46:54] evo_logo_L5_s2    150s  best 3759/4096  current 3759  restarts 1  iters 5564222  (37130/s)  best gates cx 28 tof 18
[2026-09-24 20:47:04] evo_logo_L5_s2    160s  best 3759/4096  current 3759  restarts 1  iters 5961753  (37264/s)  best gates cx 28 tof 18
[2026-09-24 20:47:14] evo_logo_L5_s2    170s  best 3759/4096  current 3759  restarts 1  iters 6359786  (37399/s)  best gates cx 28 tof 18
[2026-09-24 20:47:29] evo_logo_L5_s2    185s  best 3759/4096  current 3759  restarts 1  iters 6936549  (37469/s)  best gates cx 28 tof 18
[2026-09-24 20:47:44] evo_logo_L5_s2    200s  best 3759/4096  current 3759  restarts 1  iters 7517966  (37627/s)  best gates cx 28 tof 18
[2026-09-24 20:47:54] evo_logo_L5_s2    210s  best 3759/4096  current 3759  restarts 1  iters 7915303  (37711/s)  best gates cx 28 tof 18
[2026-09-24 20:48:09] evo_logo_L5_s2    225s  best 3759/4096  current 3759  restarts 1  iters 8512379  (37867/s)  best gates cx 28 tof 18
[2026-09-24 20:48:19] evo_logo_L5_s2    235s  best 3759/4096  current 3759  restarts 1  iters 8914740  (37936/s)  best gates cx 28 tof 18
[2026-09-24 20:48:30] evo_logo_L5_s2    246s  best 3759/4096  current 3679  restarts 2  iters 9308990  (37848/s)  best gates cx 28 tof 18
[2026-09-24 20:48:44] evo_logo_L5_s2    260s  best 3759/4096  current 3739  restarts 2  iters 9862903  (37946/s)  best gates cx 28 tof 18
[2026-09-24 20:48:54] evo_logo_L5_s2    270s  best 3773/4096  current 3773  restarts 2  iters 10262714  (38014/s)  best gates cx 33 tof 20
[2026-09-24 20:49:04] evo_logo_L5_s2    280s  best 3773/4096  current 3773  restarts 2  iters 10675769  (38121/s)  best gates cx 33 tof 20
[2026-09-24 20:49:19] evo_logo_L5_s2    295s  best 3773/4096  current 3773  restarts 2  iters 11293685  (38254/s)  best gates cx 33 tof 20
[2026-09-24 20:49:34] evo_logo_L5_s2    310s  best 3773/4096  current 3773  restarts 2  iters 11871581  (38282/s)  best gates cx 33 tof 20
[2026-09-24 20:49:44] evo_logo_L5_s2    320s  best 3775/4096  current 3775  restarts 2  iters 12270222  (38319/s)  best gates cx 29 tof 20
[2026-09-24 20:49:55] evo_logo_L5_s2    330s  best 3775/4096  current 3775  restarts 2  iters 12650740  (38278/s)  best gates cx 29 tof 20
[2026-09-24 20:50:09] evo_logo_L5_s2    345s  best 3775/4096  current 3775  restarts 2  iters 13225865  (38323/s)  best gates cx 29 tof 20
[2026-09-24 20:50:20] evo_logo_L5_s2    355s  best 3775/4096  current 3775  restarts 2  iters 13618614  (38310/s)  best gates cx 29 tof 20
[2026-09-24 20:50:35] evo_logo_L5_s2    370s  best 3775/4096  current 3775  restarts 2  iters 14198484  (38335/s)  best gates cx 29 tof 20
[2026-09-24 20:50:50] evo_logo_L5_s2    385s  best 3775/4096  current 3775  restarts 2  iters 14785107  (38375/s)  best gates cx 29 tof 20
[2026-09-24 20:51:00] evo_logo_L5_s2    395s  best 3775/4096  current 3775  restarts 2  iters 15175975  (38390/s)  best gates cx 29 tof 20
[2026-09-24 20:51:10] evo_logo_L5_s2    405s  best 3775/4096  current 3775  restarts 2  iters 15572680  (38418/s)  best gates cx 29 tof 20
[2026-09-24 20:51:21] evo_logo_L5_s2    417s  best 3775/4096  current 3659  restarts 3  iters 15959986  (38300/s)  best gates cx 29 tof 20
[2026-09-24 20:51:35] evo_logo_L5_s2    431s  best 3775/4096  current 3733  restarts 3  iters 16458595  (38172/s)  best gates cx 29 tof 20
[2026-09-24 20:51:50] evo_logo_L5_s2    446s  best 3775/4096  current 3741  restarts 3  iters 16999745  (38121/s)  best gates cx 29 tof 20
[2026-09-24 20:52:05] evo_logo_L5_s2    461s  best 3775/4096  current 3741  restarts 3  iters 17550593  (38095/s)  best gates cx 29 tof 20
[2026-09-24 20:52:15] evo_logo_L5_s2    471s  best 3775/4096  current 3741  restarts 3  iters 17928502  (38086/s)  best gates cx 29 tof 20
[2026-09-24 20:52:30] evo_logo_L5_s2    486s  best 3775/4096  current 3741  restarts 3  iters 18493459  (38079/s)  best gates cx 29 tof 20
[2026-09-24 20:52:40] evo_logo_L5_s2    496s  best 3775/4096  current 3747  restarts 3  iters 18876447  (38081/s)  best gates cx 29 tof 20
[2026-09-24 20:52:50] evo_logo_L5_s2    506s  best 3775/4096  current 3747  restarts 3  iters 19253758  (38070/s)  best gates cx 29 tof 20
[2026-09-24 20:53:05] evo_logo_L5_s2    521s  best 3775/4096  current 3747  restarts 3  iters 19817013  (38041/s)  best gates cx 29 tof 20
[2026-09-24 20:53:20] evo_logo_L5_s2    535s  best 3789/4096  current 3789  restarts 3  iters 20388489  (38075/s)  best gates cx 32 tof 20
[2026-09-24 20:53:35] evo_logo_L5_s2    550s  best 3827/4096  current 3827  restarts 3  iters 20997158  (38157/s)  best gates cx 33 tof 23
[2026-09-24 20:53:45] evo_logo_L5_s2    560s  best 3827/4096  current 3827  restarts 3  iters 21417085  (38221/s)  best gates cx 33 tof 23
[2026-09-24 20:53:55] evo_logo_L5_s2    571s  best 3827/4096  current 3827  restarts 3  iters 21830170  (38258/s)  best gates cx 33 tof 23
[2026-09-24 20:54:10] evo_logo_L5_s2    585s  best 3827/4096  current 3827  restarts 3  iters 22430637  (38318/s)  best gates cx 33 tof 23
[2026-09-24 20:54:20] evo_logo_L5_s2    595s  best 3827/4096  current 3827  restarts 3  iters 22836363  (38354/s)  best gates cx 33 tof 23
[2026-09-24 20:54:35] evo_logo_L5_s2    610s  best 3827/4096  current 3827  restarts 3  iters 23455003  (38430/s)  best gates cx 33 tof 23
[2026-09-24 20:54:50] evo_logo_L5_s2    625s  best 3827/4096  current 3827  restarts 3  iters 24083168  (38511/s)  best gates cx 33 tof 23
[2026-09-24 20:55:00] evo_logo_L5_s2    635s  best 3827/4096  current 3827  restarts 3  iters 24496702  (38553/s)  best gates cx 33 tof 23
[2026-09-24 20:55:11] evo_logo_L5_s2    646s  best 3827/4096  current 3751  restarts 4  iters 24904305  (38531/s)  best gates cx 33 tof 23
[2026-09-24 20:55:21] evo_logo_L5_s2    656s  best 3827/4096  current 3751  restarts 4  iters 25250767  (38467/s)  best gates cx 33 tof 23
[2026-09-24 20:55:35] evo_logo_L5_s2    671s  best 3827/4096  current 3801  restarts 4  iters 25788502  (38435/s)  best gates cx 33 tof 23
[2026-09-24 20:55:45] evo_logo_L5_s2    681s  best 3827/4096  current 3801  restarts 4  iters 26160708  (38406/s)  best gates cx 33 tof 23
[2026-09-24 20:56:00] evo_logo_L5_s2    696s  best 3827/4096  current 3813  restarts 4  iters 26702714  (38357/s)  best gates cx 33 tof 23
[2026-09-24 20:56:15] evo_logo_L5_s2    711s  best 3827/4096  current 3813  restarts 4  iters 27260389  (38345/s)  best gates cx 33 tof 23
[2026-09-24 20:56:25] evo_logo_L5_s2    721s  best 3827/4096  current 3813  restarts 4  iters 27633878  (38324/s)  best gates cx 33 tof 23
[2026-09-24 20:56:40] evo_logo_L5_s2    736s  best 3827/4096  current 3813  restarts 4  iters 28217164  (38354/s)  best gates cx 33 tof 23
[2026-09-24 20:56:50] evo_logo_L5_s2    746s  best 3827/4096  current 3813  restarts 4  iters 28608810  (38353/s)  best gates cx 33 tof 23
[2026-09-24 20:57:05] evo_logo_L5_s2    761s  best 3827/4096  current 3813  restarts 4  iters 29178604  (38347/s)  best gates cx 33 tof 23
[2026-09-24 20:57:15] evo_logo_L5_s2    771s  best 3827/4096  current 3813  restarts 4  iters 29563286  (38346/s)  best gates cx 33 tof 23
[2026-09-24 20:57:30] evo_logo_L5_s2    786s  best 3827/4096  current 3813  restarts 4  iters 30136204  (38351/s)  best gates cx 33 tof 23
[2026-09-24 20:57:40] evo_logo_L5_s2    796s  best 3827/4096  current 3715  restarts 5  iters 30494685  (38308/s)  best gates cx 33 tof 23
[2026-09-24 20:57:51] evo_logo_L5_s2    806s  best 3827/4096  current 3717  restarts 5  iters 30880037  (38300/s)  best gates cx 33 tof 23
[2026-09-24 20:58:05] evo_logo_L5_s2    821s  best 3827/4096  current 3721  restarts 5  iters 31450039  (38308/s)  best gates cx 33 tof 23
[2026-09-24 20:58:15] evo_logo_L5_s2    831s  best 3827/4096  current 3733  restarts 5  iters 31835432  (38311/s)  best gates cx 33 tof 23
[2026-09-24 20:58:25] evo_logo_L5_s2    841s  best 3827/4096  current 3771  restarts 5  iters 32211332  (38291/s)  best gates cx 33 tof 23
[2026-09-24 20:58:40] evo_logo_L5_s2    856s  best 3827/4096  current 3783  restarts 5  iters 32777793  (38293/s)  best gates cx 33 tof 23
[2026-09-24 20:58:56] evo_logo_L5_s2    871s  best 3829/4096  current 3829  restarts 5  iters 33376458  (38306/s)  best gates cx 30 tof 18
[2026-09-24 20:59:10] evo_logo_L5_s2    886s  best 3829/4096  current 3829  restarts 5  iters 33962679  (38344/s)  best gates cx 30 tof 18
[2026-09-24 20:59:20] evo_logo_L5_s2    896s  best 3837/4096  current 3837  restarts 5  iters 34359782  (38353/s)  best gates cx 28 tof 19
[2026-09-24 20:59:30] evo_logo_L5_s2    906s  best 3837/4096  current 3837  restarts 5  iters 34764655  (38367/s)  best gates cx 28 tof 19
[2026-09-24 20:59:45] evo_logo_L5_s2    921s  best 3837/4096  current 3837  restarts 5  iters 35365439  (38393/s)  best gates cx 28 tof 19
[2026-09-24 21:00:00] evo_logo_L5_s2    936s  best 3837/4096  current 3837  restarts 5  iters 35937507  (38406/s)  best gates cx 28 tof 19
[2026-09-24 21:00:10] evo_logo_L5_s2    946s  best 3837/4096  current 3837  restarts 5  iters 36348247  (38416/s)  best gates cx 28 tof 19
[2026-09-24 21:00:25] evo_logo_L5_s2    961s  best 3837/4096  current 3837  restarts 5  iters 36937375  (38435/s)  best gates cx 28 tof 19
[2026-09-24 21:00:40] evo_logo_L5_s2    976s  best 3837/4096  current 3837  restarts 5  iters 37540698  (38470/s)  best gates cx 28 tof 19
[2026-09-24 21:00:50] evo_logo_L5_s2    986s  best 3837/4096  current 3837  restarts 5  iters 37954004  (38491/s)  best gates cx 28 tof 19
[2026-09-24 21:01:01] evo_logo_L5_s2    997s  best 3837/4096  current 3653  restarts 6  iters 38305701  (38415/s)  best gates cx 28 tof 19
[2026-09-24 21:01:16] evo_logo_L5_s2   1012s  best 3837/4096  current 3745  restarts 6  iters 38822797  (38374/s)  best gates cx 28 tof 19
[2026-09-24 21:01:31] evo_logo_L5_s2   1027s  best 3837/4096  current 3793  restarts 6  iters 39361898  (38339/s)  best gates cx 28 tof 19
[2026-09-24 21:01:41] evo_logo_L5_s2   1037s  best 3837/4096  current 3793  restarts 6  iters 39720265  (38308/s)  best gates cx 28 tof 19
[2026-09-24 21:01:51] evo_logo_L5_s2   1047s  best 3837/4096  current 3801  restarts 6  iters 40074161  (38278/s)  best gates cx 28 tof 19
[2026-09-24 21:02:06] evo_logo_L5_s2   1062s  best 3837/4096  current 3801  restarts 6  iters 40614887  (38259/s)  best gates cx 28 tof 19
[2026-09-24 21:02:21] evo_logo_L5_s2   1077s  best 3837/4096  current 3825  restarts 6  iters 41175211  (38245/s)  best gates cx 28 tof 19
