[evo3_logo_L5_s1] start fitness 3269 / 4096  P3 0.30  restart after 90s without gain
[2026-09-25 02:05:21] evo3_logo_L5_s1     10s  best 3715/4096  current 3715  restarts 0  iters 335808 (32773/s)  best: cx 22 tof 19 (3-ctl 2) est_fwd 52
[2026-09-25 02:05:36] evo3_logo_L5_s1     25s  best 3753/4096  current 3753  restarts 0  iters 855486 (34086/s)  best: cx 25 tof 16 (3-ctl 6) est_fwd 64
[2026-09-25 02:05:51] evo3_logo_L5_s1     40s  best 3775/4096  current 3775  restarts 0  iters 1411317 (35416/s)  best: cx 28 tof 19 (3-ctl 6) est_fwd 64
[2026-09-25 02:06:06] evo3_logo_L5_s1     55s  best 3781/4096  current 3781  restarts 0  iters 1982347 (36146/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:06:21] evo3_logo_L5_s1     70s  best 3781/4096  current 3781  restarts 0  iters 2539951 (36216/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:06:36] evo3_logo_L5_s1     85s  best 3781/4096  current 3781  restarts 0  iters 3080667 (36280/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:06:51] evo3_logo_L5_s1    100s  best 3781/4096  current 3781  restarts 0  iters 3638403 (36380/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:07:06] evo3_logo_L5_s1    115s  best 3781/4096  current 3781  restarts 0  iters 4187679 (36399/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:07:21] evo3_logo_L5_s1    130s  best 3781/4096  current 3781  restarts 0  iters 4744191 (36526/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:07:31] evo3_logo_L5_s1    140s  best 3781/4096  current 3753  restarts 1  iters 5113469 (36461/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:07:45] evo3_logo_L5_s1    155s  best 3781/4096  current 3781  restarts 1  iters 5672308 (36682/s)  best: cx 26 tof 17 (3-ctl 5) est_fwd 64
[2026-09-25 02:07:56] evo3_logo_L5_s1    165s  best 3783/4096  current 3783  restarts 1  iters 6065787 (36824/s)  best: cx 34 tof 19 (3-ctl 8) est_fwd 64
[2026-09-25 02:08:10] evo3_logo_L5_s1    179s  best 3785/4096  current 3785  restarts 1  iters 6661928 (37132/s)  best: cx 33 tof 19 (3-ctl 7) est_fwd 64
[2026-09-25 02:08:20] evo3_logo_L5_s1    190s  best 3789/4096  current 3789  restarts 1  iters 7071025 (37304/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:08:31] evo3_logo_L5_s1    200s  best 3789/4096  current 3789  restarts 1  iters 7477221 (37439/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:08:45] evo3_logo_L5_s1    215s  best 3789/4096  current 3789  restarts 1  iters 8070228 (37597/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:09:01] evo3_logo_L5_s1    230s  best 3789/4096  current 3789  restarts 1  iters 8676740 (37766/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:09:15] evo3_logo_L5_s1    245s  best 3789/4096  current 3789  restarts 1  iters 9276607 (37924/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:09:25] evo3_logo_L5_s1    255s  best 3789/4096  current 3789  restarts 1  iters 9675299 (37996/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:09:35] evo3_logo_L5_s1    265s  best 3789/4096  current 3789  restarts 1  iters 10074016 (38063/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:09:46] evo3_logo_L5_s1    275s  best 3789/4096  current 3789  restarts 1  iters 10477218 (38140/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:09:56] evo3_logo_L5_s1    285s  best 3789/4096  current 3777  restarts 2  iters 10850148 (38059/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:10:06] evo3_logo_L5_s1    295s  best 3789/4096  current 3781  restarts 2  iters 11222978 (38023/s)  best: cx 31 tof 19 (3-ctl 10) est_fwd 64
[2026-09-25 02:10:21] evo3_logo_L5_s1    310s  best 3801/4096  current 3801  restarts 2  iters 11777853 (38004/s)  best: cx 30 tof 18 (3-ctl 7) est_fwd 58
[2026-09-25 02:10:31] evo3_logo_L5_s1    320s  best 3801/4096  current 3801  restarts 2  iters 12158174 (37999/s)  best: cx 30 tof 18 (3-ctl 7) est_fwd 58
[2026-09-25 02:10:46] evo3_logo_L5_s1    335s  best 3809/4096  current 3809  restarts 2  iters 12734392 (38035/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:10:56] evo3_logo_L5_s1    345s  best 3809/4096  current 3809  restarts 2  iters 13132184 (38085/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:11:11] evo3_logo_L5_s1    360s  best 3809/4096  current 3809  restarts 2  iters 13719929 (38120/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:11:26] evo3_logo_L5_s1    375s  best 3809/4096  current 3809  restarts 2  iters 14294737 (38118/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:11:41] evo3_logo_L5_s1    390s  best 3809/4096  current 3809  restarts 2  iters 14868075 (38124/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:11:51] evo3_logo_L5_s1    400s  best 3809/4096  current 3809  restarts 2  iters 15251005 (38127/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:12:06] evo3_logo_L5_s1    415s  best 3809/4096  current 3809  restarts 2  iters 15828114 (38156/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:12:16] evo3_logo_L5_s1    425s  best 3809/4096  current 3809  restarts 2  iters 16217363 (38172/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:12:26] evo3_logo_L5_s1    435s  best 3809/4096  current 3807  restarts 3  iters 16577157 (38068/s)  best: cx 31 tof 18 (3-ctl 5) est_fwd 64
[2026-09-25 02:12:41] evo3_logo_L5_s1    450s  best 3811/4096  current 3811  restarts 3  iters 17138708 (38071/s)  best: cx 34 tof 16 (3-ctl 7) est_fwd 64
[2026-09-25 02:12:56] evo3_logo_L5_s1    465s  best 3831/4096  current 3831  restarts 3  iters 17705939 (38082/s)  best: cx 31 tof 17 (3-ctl 9) est_fwd 70
[2026-09-25 02:13:06] evo3_logo_L5_s1    475s  best 3835/4096  current 3835  restarts 3  iters 18096879 (38103/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:13:21] evo3_logo_L5_s1    490s  best 3835/4096  current 3835  restarts 3  iters 18694118 (38149/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:13:36] evo3_logo_L5_s1    505s  best 3835/4096  current 3835  restarts 3  iters 19286634 (38204/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:13:46] evo3_logo_L5_s1    515s  best 3835/4096  current 3835  restarts 3  iters 19681265 (38198/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:14:01] evo3_logo_L5_s1    530s  best 3835/4096  current 3835  restarts 3  iters 20260138 (38221/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:14:16] evo3_logo_L5_s1    545s  best 3835/4096  current 3835  restarts 3  iters 20850316 (38260/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:14:26] evo3_logo_L5_s1    555s  best 3835/4096  current 3835  restarts 3  iters 21238911 (38268/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:14:41] evo3_logo_L5_s1    570s  best 3835/4096  current 3835  restarts 3  iters 21829598 (38307/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:14:51] evo3_logo_L5_s1    580s  best 3835/4096  current 3697  restarts 4  iters 22203891 (38254/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:15:06] evo3_logo_L5_s1    595s  best 3835/4096  current 3729  restarts 4  iters 22762544 (38239/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:15:16] evo3_logo_L5_s1    605s  best 3835/4096  current 3729  restarts 4  iters 23141398 (38222/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:15:26] evo3_logo_L5_s1    616s  best 3835/4096  current 3745  restarts 4  iters 23503632 (38184/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:15:41] evo3_logo_L5_s1    630s  best 3835/4096  current 3775  restarts 4  iters 24049202 (38149/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:15:51] evo3_logo_L5_s1    640s  best 3835/4096  current 3801  restarts 4  iters 24414080 (38122/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:16:06] evo3_logo_L5_s1    655s  best 3835/4096  current 3801  restarts 4  iters 24987282 (38127/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:16:21] evo3_logo_L5_s1    670s  best 3835/4096  current 3801  restarts 4  iters 25548367 (38114/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:16:31] evo3_logo_L5_s1    680s  best 3835/4096  current 3817  restarts 4  iters 25933899 (38118/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:16:46] evo3_logo_L5_s1    695s  best 3835/4096  current 3817  restarts 4  iters 26504037 (38120/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:16:56] evo3_logo_L5_s1    705s  best 3835/4096  current 3817  restarts 4  iters 26883019 (38112/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:17:11] evo3_logo_L5_s1    720s  best 3835/4096  current 3817  restarts 4  iters 27448599 (38104/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:17:26] evo3_logo_L5_s1    735s  best 3835/4096  current 3817  restarts 4  iters 28015682 (38103/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:17:41] evo3_logo_L5_s1    750s  best 3835/4096  current 3831  restarts 4  iters 28592139 (38116/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:17:51] evo3_logo_L5_s1    760s  best 3835/4096  current 3833  restarts 4  iters 28993025 (38141/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:18:06] evo3_logo_L5_s1    775s  best 3835/4096  current 3833  restarts 4  iters 29598033 (38187/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:18:16] evo3_logo_L5_s1    785s  best 3835/4096  current 3833  restarts 4  iters 29994913 (38200/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:18:31] evo3_logo_L5_s1    800s  best 3835/4096  current 3833  restarts 4  iters 30607760 (38255/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:18:46] evo3_logo_L5_s1    815s  best 3835/4096  current 3833  restarts 4  iters 31212075 (38291/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:19:01] evo3_logo_L5_s1    830s  best 3835/4096  current 3833  restarts 4  iters 31812428 (38320/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:19:16] evo3_logo_L5_s1    845s  best 3835/4096  current 3833  restarts 4  iters 32410443 (38352/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:19:26] evo3_logo_L5_s1    856s  best 3835/4096  current 3739  restarts 5  iters 32785541 (38321/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:19:41] evo3_logo_L5_s1    870s  best 3835/4096  current 3743  restarts 5  iters 33358051 (38325/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:19:51] evo3_logo_L5_s1    880s  best 3835/4096  current 3753  restarts 5  iters 33740361 (38320/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:20:01] evo3_logo_L5_s1    891s  best 3835/4096  current 3765  restarts 5  iters 34113250 (38302/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:20:16] evo3_logo_L5_s1    906s  best 3835/4096  current 3765  restarts 5  iters 34682950 (38296/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:20:31] evo3_logo_L5_s1    920s  best 3835/4096  current 3765  restarts 5  iters 35253178 (38300/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:20:41] evo3_logo_L5_s1    931s  best 3835/4096  current 3765  restarts 5  iters 35644269 (38306/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:20:52] evo3_logo_L5_s1    941s  best 3835/4096  current 3765  restarts 5  iters 36024231 (38296/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:21:06] evo3_logo_L5_s1    956s  best 3835/4096  current 3765  restarts 5  iters 36591375 (38293/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:21:21] evo3_logo_L5_s1    971s  best 3835/4096  current 3773  restarts 5  iters 37167682 (38297/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:21:36] evo3_logo_L5_s1    986s  best 3835/4096  current 3773  restarts 5  iters 37745319 (38294/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
[2026-09-25 02:21:51] evo3_logo_L5_s1   1000s  best 3835/4096  current 3817  restarts 5  iters 38308159 (38294/s)  best: cx 31 tof 18 (3-ctl 7) est_fwd 64
